trade_date,symbol,open,high,low,close,volume,turnover,pre_close,adjust_factor,is_st,is_suspended,listed_days
2025-01-02,AAA,10.00,10.30,9.90,10.20,1000000,102000000,10.00,1.0,false,false,200
2025-01-03,AAA,10.25,10.80,10.20,10.70,1200000,128400000,10.20,1.0,false,false,201
2025-01-06,AAA,10.75,11.00,10.60,10.90,1100000,119900000,10.70,1.0,false,false,204
2025-01-07,AAA,10.88,11.10,10.70,10.95,900000,98550000,10.90,1.0,false,false,205
2025-01-08,AAA,10.90,11.20,10.80,11.10,950000,105450000,10.95,1.0,false,false,206
2025-01-02,BBB,20.00,20.20,19.80,20.10,800000,160800000,20.00,1.0,false,false,320
2025-01-03,BBB,20.15,20.30,19.90,20.00,820000,164000000,20.10,1.0,false,false,321
2025-01-06,BBB,19.95,20.10,19.70,19.80,850000,168300000,20.00,1.0,false,false,324
2025-01-07,BBB,19.75,19.90,19.40,19.50,880000,171600000,19.80,1.0,false,false,325
2025-01-08,BBB,19.55,19.70,19.20,19.30,900000,173700000,19.50,1.0,false,false,326
