trade_date,sector_id,sector_name,persistence,diffusion,money_making,leader_strength,relative_strength,activity
2025-01-07,AI,AI,0.82,0.80,0.78,0.86,0.79,0.80
2025-01-07,CYCLE,Cycle,0.45,0.40,0.35,0.42,0.40,0.38
2025-01-08,AI,AI,0.87,0.84,0.82,0.91,0.85,0.86
2025-01-08,CYCLE,Cycle,0.48,0.43,0.38,0.42,0.40,0.39
2025-01-09,AI,AI,0.83,0.81,0.79,0.86,0.82,0.81
2025-01-09,CYCLE,Cycle,0.44,0.41,0.37,0.41,0.40,0.39
2025-01-10,AI,AI,0.35,0.34,0.32,0.36,0.34,0.33
2025-01-10,CYCLE,Cycle,0.42,0.40,0.38,0.41,0.40,0.39
2025-01-13,AI,AI,0.33,0.32,0.30,0.34,0.32,0.31
2025-01-13,CYCLE,Cycle,0.40,0.39,0.37,0.40,0.39,0.38
