trade_date,symbol,sector_id,sector_name,expected_upside,drive_strength,stability,liquidity,late_mover_quality,resonance
2025-01-07,LDR,AI,AI,0.95,0.96,0.55,0.62,0.35,0.92
2025-01-07,CORE,AI,AI,0.66,0.60,0.94,0.95,0.40,0.88
2025-01-07,LATE,AI,AI,0.74,0.56,0.62,0.58,0.93,0.78
2025-01-08,LDR,AI,AI,0.95,0.96,0.55,0.62,0.35,0.92
2025-01-08,CORE,AI,AI,0.66,0.60,0.94,0.95,0.40,0.88
2025-01-08,LATE,AI,AI,0.74,0.56,0.62,0.58,0.93,0.78
2025-01-09,LDR,AI,AI,0.92,0.93,0.58,0.66,0.35,0.90
2025-01-09,CORE,AI,AI,0.68,0.62,0.94,0.95,0.40,0.88
2025-01-09,LATE,AI,AI,0.78,0.60,0.64,0.60,0.93,0.80
2025-01-10,LDR,AI,AI,0.72,0.70,0.52,0.60,0.34,0.74
2025-01-10,CORE,AI,AI,0.58,0.54,0.88,0.90,0.40,0.76
2025-01-10,LATE,AI,AI,0.64,0.52,0.58,0.56,0.84,0.72
2025-01-13,LDR,AI,AI,0.60,0.55,0.48,0.55,0.30,0.60
2025-01-13,CORE,AI,AI,0.50,0.48,0.82,0.86,0.36,0.70
2025-01-13,LATE,AI,AI,0.52,0.46,0.54,0.52,0.74,0.66
