trade_date,symbol,open,high,low,close,volume,turnover,pre_close,adjust_factor,is_st,is_suspended,listed_days
2025-01-02,LDR,10.00,10.10,9.90,10.00,1000000,100000000,10.00,1.0,false,false,200
2025-01-03,LDR,10.20,10.25,10.10,10.20,1000000,102000000,10.00,1.0,false,false,201
2025-01-06,LDR,10.10,10.15,10.00,10.10,1000000,101000000,10.20,1.0,false,false,204
2025-01-07,LDR,10.40,10.45,10.20,10.40,1000000,104000000,10.10,1.0,false,false,205
2025-01-08,LDR,10.60,10.70,10.45,10.60,1000000,106000000,10.40,1.0,false,false,206
2025-01-09,LDR,10.90,11.00,10.70,10.90,1000000,109000000,10.60,1.0,false,false,207
2025-01-10,LDR,11.10,11.20,10.95,11.10,1000000,111000000,10.90,1.0,false,false,208
2025-01-13,LDR,11.30,11.40,11.10,11.30,1000000,113000000,11.10,1.0,false,false,211
2025-01-14,LDR,11.00,11.05,10.80,11.00,1000000,110000000,11.30,1.0,false,false,212
2025-01-02,CORE,20.00,20.10,19.90,20.00,1000000,120000000,20.00,1.0,false,false,300
2025-01-03,CORE,20.20,20.25,20.10,20.20,1000000,121200000,20.00,1.0,false,false,301
2025-01-06,CORE,20.10,20.15,20.00,20.10,1000000,120600000,20.20,1.0,false,false,304
2025-01-07,CORE,20.40,20.45,20.20,20.40,1000000,122400000,20.10,1.0,false,false,305
2025-01-08,CORE,20.60,20.70,20.45,20.60,1000000,123600000,20.40,1.0,false,false,306
2025-01-09,CORE,20.90,21.00,20.70,20.90,1000000,125400000,20.60,1.0,false,false,307
2025-01-10,CORE,21.10,21.20,20.95,21.10,1000000,126600000,20.90,1.0,false,false,308
2025-01-13,CORE,21.30,21.40,21.10,21.30,1000000,127800000,21.10,1.0,false,false,311
2025-01-14,CORE,21.00,21.05,20.80,21.00,1000000,126000000,21.30,1.0,false,false,312
2025-01-02,LATE,8.00,8.05,7.95,8.00,1000000,80000000,8.00,1.0,false,false,180
2025-01-03,LATE,8.20,8.25,8.10,8.20,1000000,82000000,8.00,1.0,false,false,181
2025-01-06,LATE,8.10,8.15,8.00,8.10,1000000,81000000,8.20,1.0,false,false,184
2025-01-07,LATE,8.40,8.45,8.20,8.40,1000000,84000000,8.10,1.0,false,false,185
2025-01-08,LATE,8.60,8.70,8.45,8.60,1000000,86000000,8.40,1.0,false,false,186
2025-01-09,LATE,8.90,9.00,8.70,8.90,1000000,89000000,8.60,1.0,false,false,187
2025-01-10,LATE,9.10,9.20,8.95,9.10,1000000,91000000,8.90,1.0,false,false,188
2025-01-13,LATE,9.30,9.40,9.10,9.30,1000000,93000000,9.10,1.0,false,false,191
2025-01-14,LATE,9.00,9.05,8.80,9.00,1000000,90000000,9.30,1.0,false,false,192
