review_target,queue_class,priority,review_reason
cpo_anchor_001_event,timestamp_resolution_followup,normal,forward_anchor_unresolved
cpo_anchor_002_event,timestamp_resolution_followup,normal,forward_anchor_unresolved
cpo_anchor_003_event,timestamp_resolution_followup,normal,forward_anchor_unresolved
cpo_anchor_004_event,timestamp_resolution_followup,normal,forward_anchor_unresolved
cpo_anchor_005_event,timestamp_resolution_followup,normal,forward_anchor_unresolved
cpo_anchor_006_event,timestamp_resolution_followup,normal,forward_anchor_unresolved
cpo_anchor_007_event,timestamp_resolution_followup,normal,forward_anchor_unresolved
cpo_anchor_008_event,timestamp_resolution_followup,normal,forward_anchor_unresolved
cpo_anchor_009_event,timestamp_resolution_followup,normal,forward_anchor_unresolved
cpo_anchor_010_event,timestamp_resolution_followup,normal,forward_anchor_unresolved
cpo_source_001_event,timestamp_resolution_followup,normal,unresolved
cpo_source_002_event,timestamp_resolution_followup,normal,unresolved
cpo_source_004_event,timestamp_resolution_followup,normal,unresolved
cpo_source_007_event,timestamp_resolution_followup,normal,unresolved
cpo_source_009_event,timestamp_resolution_followup,normal,unresolved
