review_target,queue_class,priority,timestamp_quality_band,fetch_quality_band,bootstrap_evidence_gate
ca_source_001_event,low_confidence_event,normal,high,high,False
ca_source_003_event,low_confidence_event,normal,high,high,False
ca_source_004_event,low_confidence_event,high,high,low,False
ca_source_006_event,low_confidence_event,normal,medium,high,False
ca_source_007_event,low_confidence_event,normal,high,high,False
ca_source_008_event,low_confidence_event,normal,medium,high,False
ca_source_009_event,low_confidence_event,normal,medium,high,False
ca_source_010_event,low_confidence_event,normal,medium,high,False
ca_source_012_event,low_confidence_event,normal,medium,high,False
ca_anchor_001_event,low_confidence_event,high,low,low,False
ca_anchor_002_event,low_confidence_event,high,low,low,False
ca_anchor_003_event,low_confidence_event,high,low,low,False
ca_anchor_004_event,low_confidence_event,high,low,low,False
ca_source_001_event,low_confidence_event,normal,high,high,False
ca_source_003_event,low_confidence_event,normal,high,high,False
ca_source_004_event,low_confidence_event,high,high,low,False
ca_source_006_event,low_confidence_event,normal,medium,high,False
ca_source_007_event,low_confidence_event,normal,high,high,False
ca_source_008_event,low_confidence_event,normal,medium,high,False
ca_source_009_event,low_confidence_event,normal,medium,high,False
ca_source_010_event,low_confidence_event,normal,medium,high,False
ca_source_012_event,low_confidence_event,normal,medium,high,False
ca_anchor_001_event,low_confidence_event,high,low,low,False
ca_anchor_002_event,low_confidence_event,high,low,low,False
ca_anchor_003_event,low_confidence_event,high,low,low,False
ca_anchor_004_event,low_confidence_event,high,low,low,False
cpo_source_001_event,low_confidence_event,high,low,low,False
cpo_source_002_event,low_confidence_event,high,low,high,False
cpo_source_004_event,low_confidence_event,high,low,high,False
cpo_source_005_event,low_confidence_event,normal,high,high,False
cpo_source_006_event,low_confidence_event,normal,high,high,False
cpo_source_007_event,low_confidence_event,high,low,high,False
cpo_source_008_event,low_confidence_event,normal,high,high,False
cpo_source_009_event,low_confidence_event,high,low,low,False
cpo_source_010_event,low_confidence_event,normal,medium,high,False
cpo_anchor_001_event,low_confidence_event,high,low,low,False
cpo_anchor_002_event,low_confidence_event,high,low,low,False
cpo_anchor_003_event,low_confidence_event,high,low,low,False
cpo_anchor_004_event,low_confidence_event,high,low,low,False
cpo_anchor_005_event,low_confidence_event,high,low,low,False
cpo_anchor_006_event,low_confidence_event,high,low,low,False
cpo_anchor_007_event,low_confidence_event,high,low,low,False
cpo_anchor_008_event,low_confidence_event,high,low,low,False
cpo_anchor_009_event,low_confidence_event,high,low,low,False
cpo_anchor_010_event,low_confidence_event,high,low,low,False
