source_id,host,source_tier,queue_state,decision_scope
src_0002,finance.sina.com.cn,T2_reliable_media,awaiting_allowlist_decision,selective_candidate_after_allowlist
src_0003,news.10jqka.com.cn,T3_aggregator_or_secondary,awaiting_allowlist_decision,selective_candidate_after_allowlist
src_0004,news.10jqka.com.cn,T3_aggregator_or_secondary,awaiting_allowlist_decision,selective_candidate_after_allowlist
src_0005,finance.sina.com.cn,T2_reliable_media,awaiting_allowlist_decision,selective_candidate_after_allowlist
src_0006,www.jiuyangongshe.com,T3_aggregator_or_secondary,awaiting_allowlist_decision,selective_candidate_after_allowlist
src_0007,news.10jqka.com.cn,T3_aggregator_or_secondary,awaiting_allowlist_decision,selective_candidate_after_allowlist
src_0008,www.egsea.com,T3_aggregator_or_secondary,awaiting_allowlist_decision,selective_candidate_after_allowlist
src_0009,k.sina.com.cn,T3_aggregator_or_secondary,awaiting_allowlist_decision,selective_candidate_after_allowlist
src_0010,www.sohu.com,T3_aggregator_or_secondary,awaiting_allowlist_decision,selective_candidate_after_allowlist
src_0011,finance.sina.com.cn,T2_reliable_media,awaiting_allowlist_decision,selective_candidate_after_allowlist
src_0012,www.futurephecda.com,T3_aggregator_or_secondary,awaiting_allowlist_decision,selective_candidate_after_allowlist
src_0017,www.senn.com.cn,T3_aggregator_or_secondary,awaiting_allowlist_decision,selective_candidate_after_allowlist
src_0018,stock.finance.sina.com.cn,T2_reliable_media,awaiting_allowlist_decision,selective_candidate_after_allowlist
src_0019,www.yicai.com,T2_reliable_media,awaiting_allowlist_decision,selective_candidate_after_allowlist
src_0021,www.cnfin.com,T3_aggregator_or_secondary,awaiting_allowlist_decision,selective_candidate_after_allowlist
src_0022,finance.sina.cn,T3_aggregator_or_secondary,awaiting_allowlist_decision,selective_candidate_after_allowlist
src_0023,stcn.com,T2_reliable_media,awaiting_allowlist_decision,selective_candidate_after_allowlist
src_0024,www.c-fol.net,T3_aggregator_or_secondary,awaiting_allowlist_decision,selective_candidate_after_allowlist
src_0025,www.forbeschina.com,T3_aggregator_or_secondary,awaiting_allowlist_decision,selective_candidate_after_allowlist
src_0026,www.sohu.com,T3_aggregator_or_secondary,awaiting_allowlist_decision,selective_candidate_after_allowlist
