workstream,state,residual_mode
identity,foundation_complete_enough,backlog_extend_only
taxonomy,foundation_complete_enough,business_reference_and_purity_backlog
market,foundation_complete_enough,board_state_derivation_backlog
events,foundation_complete_enough,future_source_activation
attention,foundation_complete_enough,future_evidence_expansion
quality,foundation_complete_enough,contradiction_resolution_backlog
labels,foundation_complete_enough,state_and_governance_label_backlog
features,foundation_complete_enough,representation_backlog
pti,foundation_complete_enough,execution_state_backlog
replay,foundation_complete_enough,read_only_non_promotive
serving,foundation_complete_enough,live_like_deferred
governance,foundation_complete_enough,gate_control_only
automation,foundation_complete_enough,job_contracts_not_yet_activated
