slice_id,decision_trade_date,intraday_present,daily_present,coverage_gap_state
slice_20230922_113526,2023-09-22,False,False,full_market_context_missing
slice_20231208_152916,2023-12-08,False,False,full_market_context_missing
slice_20250319_080736,2025-03-19,False,True,covered
slice_20250513_180228,2025-05-13,False,True,covered
slice_20250724_164500,2025-07-24,False,True,covered
slice_20250819_082110,2025-08-19,False,True,covered
slice_20250922_124200,2025-09-22,False,True,covered
slice_20251224_174200,2025-12-24,True,True,covered
slice_20251226_103958,2025-12-26,True,True,covered
slice_20260108_180005,2026-01-08,True,True,covered
slice_20260108_181651,2026-01-08,True,True,covered
slice_20260108_205200,2026-01-08,True,True,covered
slice_20260112_115033,2026-01-12,True,True,covered
slice_20260113_193236,2026-01-13,True,True,covered
slice_20260121_140547,2026-01-21,True,True,covered
slice_20260306_020027,2026-03-06,True,True,covered
slice_20260328_194152,2026-03-28,False,False,full_market_context_missing
