slice_id,decision_trade_date,trial_query_trade_date,baseline_tradeable_context_state,trial_tradeable_context_state
slice_20230922_113526,2023-09-22,2023-09-22,missing_tradeable_date_context,missing_tradeable_date_context
slice_20231208_152916,2023-12-08,2023-12-08,missing_tradeable_date_context,missing_tradeable_date_context
slice_20250319_080736,2025-03-19,2025-03-19,date_level_tradeable_context_bound,date_level_tradeable_context_bound
slice_20250513_180228,2025-05-13,2025-05-13,date_level_tradeable_context_bound,date_level_tradeable_context_bound
slice_20250724_164500,2025-07-24,2025-07-24,date_level_tradeable_context_bound,date_level_tradeable_context_bound
slice_20250819_082110,2025-08-19,2025-08-19,date_level_tradeable_context_bound,date_level_tradeable_context_bound
slice_20250922_124200,2025-09-22,2025-09-22,date_level_tradeable_context_bound,date_level_tradeable_context_bound
slice_20251224_174200,2025-12-24,2025-12-24,date_level_tradeable_context_bound,date_level_tradeable_context_bound
slice_20251226_103958,2025-12-26,2025-12-26,date_level_tradeable_context_bound,date_level_tradeable_context_bound
slice_20260108_180005,2026-01-08,2026-01-08,date_level_tradeable_context_bound,date_level_tradeable_context_bound
slice_20260108_181651,2026-01-08,2026-01-08,date_level_tradeable_context_bound,date_level_tradeable_context_bound
slice_20260108_205200,2026-01-08,2026-01-08,date_level_tradeable_context_bound,date_level_tradeable_context_bound
slice_20260112_115033,2026-01-12,2026-01-12,date_level_tradeable_context_bound,date_level_tradeable_context_bound
slice_20260113_193236,2026-01-13,2026-01-13,date_level_tradeable_context_bound,date_level_tradeable_context_bound
slice_20260121_140547,2026-01-21,2026-01-21,date_level_tradeable_context_bound,date_level_tradeable_context_bound
slice_20260306_020027,2026-03-06,2026-03-06,date_level_tradeable_context_bound,date_level_tradeable_context_bound
slice_20260328_194152,2026-03-28,2026-03-27,missing_tradeable_date_context,date_level_tradeable_context_bound_via_effective_trade_date
