trade_date,symbol,assignment_layer,assignment_score,board_composite,leader_core,board_strong,near_surface_watch_active
2024-07-16,600118,leader,0.566719,0.976585,True,True,True
2024-07-18,600118,core,0.533446,0.783029,True,True,True
2024-07-19,600118,core,0.523847,0.931191,True,True,True
2024-07-24,600118,leader,0.696973,0.786505,True,True,True
2024-07-25,600118,junk,0.511242,0.566406,False,True,False
2024-08-15,600118,leader,0.459496,0.502405,True,True,True
2024-08-16,600118,junk,0.516982,0.466192,False,True,False
2024-08-19,600118,leader,0.451081,0.649884,True,True,True
2024-09-25,600118,leader,0.636655,0.68059,True,True,True
2024-09-30,600118,leader,0.810773,0.925639,True,True,True
