trade_date,symbol,predicted_tier,reference_quantity,actual_start_of_day_quantity,actual_vs_reference_ratio,holding_status,same_day_primary_action_count,same_day_primary_actions
20251118,688523,mild_override_watch,3500,1400,0.4,underfunded_vs_reference,2,add|reduce
20251126,300045,mild_override_watch,4200,100,0.02381,underfunded_vs_reference,1,close
20251216,688523,reversal_watch,2300,1500,0.652174,underfunded_vs_reference,0,
20251217,688066,mild_override_watch,3600,200,0.055556,underfunded_vs_reference,1,add
20251219,688523,reversal_watch,2200,1500,0.681818,underfunded_vs_reference,0,
20260113,000738,reversal_watch,4000,0,0.0,no_actual_holding,1,open
20260113,601698,severe_override_positive,1800,200,0.111111,underfunded_vs_reference,1,add
20260115,300045,reversal_watch,3000,2900,0.966667,underfunded_vs_reference,0,
20260115,601698,reversal_watch,2300,1800,0.782609,underfunded_vs_reference,0,
20260115,688066,reversal_watch,2300,200,0.086957,underfunded_vs_reference,0,
20260116,688066,mild_override_watch,2500,200,0.08,underfunded_vs_reference,0,
20260120,300342,reversal_watch,1700,3000,1.764706,fully_funded_overlap,1,reduce
20260120,688066,severe_override_positive,2300,200,0.086957,underfunded_vs_reference,0,
20260120,688523,reversal_watch,1500,0,0.0,no_actual_holding,0,
20260126,300045,reversal_watch,3200,800,0.25,underfunded_vs_reference,1,add
20260126,300342,severe_override_positive,1600,800,0.5,underfunded_vs_reference,2,add|reduce
20260126,688066,reversal_watch,2300,200,0.086957,underfunded_vs_reference,0,
20260126,688523,reversal_watch,1400,0,0.0,no_actual_holding,0,
20260128,300342,reversal_watch,1700,1600,0.941176,underfunded_vs_reference,0,
20260303,300342,severe_override_positive,2100,0,0.0,no_actual_holding,0,
20260303,601698,severe_override_positive,2500,0,0.0,no_actual_holding,0,
20260401,300342,mild_override_watch,1900,0,0.0,no_actual_holding,0,
20260401,688523,mild_override_watch,1500,0,0.0,no_actual_holding,0,
20260403,688066,reversal_watch,5400,0,0.0,no_actual_holding,0,
