trade_date,symbol,predicted_tier,trigger_tier,fill_price,sell_quantity,same_day_protected_mark_to_close,horizon_pnl_if_held_1d,horizon_pnl_if_held_3d,horizon_pnl_if_held_5d
20251216,688523,reversal_watch,reversal_watch,40.0,1500,1077.0,-1680.0,3030.0,-1035.0
20251219,688523,reversal_watch,reversal_watch,42.75,1500,919.575,-2235.0,-3060.0,1965.0
20260113,601698,severe_override_positive,severe_override_positive,48.77,200,36.369,-1026.0,-1722.0,-2354.0
20260115,300045,reversal_watch,reversal_watch,30.85,2900,940.963,-2697.0,-4785.0,-5365.0
20260115,601698,reversal_watch,reversal_watch,40.01,1800,1184.3676,270.0,-5418.0,-2268.0
20260115,688066,reversal_watch,reversal_watch,39.77,200,145.069,320.0,-576.0,-394.0
20260120,300342,reversal_watch,reversal_watch,54.6,3000,6845.16,-14760.0,20010.0,5430.0
20260120,688066,severe_override_positive,reversal_watch,39.86,200,577.042,-742.0,166.0,224.0
20260126,300045,reversal_watch,reversal_watch,29.46,800,533.5776,-352.0,-1016.0,-2128.0
20260126,300342,severe_override_positive,reversal_watch,56.86,800,1726.1216,-360.0,-3880.0,-2048.0
20260126,688066,reversal_watch,reversal_watch,39.53,200,277.141,290.0,-538.0,-2196.0
20260128,300342,reversal_watch,reversal_watch,54.28,1600,1203.6736,-3632.0,32.0,-1712.0
