trade_date,symbol,predicted_tier,trigger_tier,trigger_minute,fill_minute,fill_price,sell_quantity,sell_notional,commission,stamp_tax,slippage,total_cost,close_price,protected_mark_to_close
20251216,688523,reversal_watch,reversal_watch,3,4,40.0,1500,60000.0,18.0,60.0,30.0,108.0,39.21,1077.0
20251219,688523,reversal_watch,reversal_watch,54,55,42.75,1500,64125.0,19.2375,64.125,32.0625,115.425,42.06,919.575
20260113,601698,severe_override_positive,severe_override_positive,3,4,48.77,200,9754.0,5.0,9.754,4.877,19.631,48.49,36.369
20260115,300045,reversal_watch,reversal_watch,32,33,30.85,2900,89465.0,26.8395,89.465,44.7325,161.037,30.47,940.963
20260115,601698,reversal_watch,reversal_watch,23,24,40.01,1800,72018.0,21.6054,72.018,36.009,129.6324,39.28,1184.3676
20260115,688066,reversal_watch,reversal_watch,9,10,39.77,200,7954.0,5.0,7.954,3.977,16.931,38.96,145.069
20260120,300342,reversal_watch,reversal_watch,41,42,54.6,3000,163800.0,49.14,163.8,81.9,294.84,52.22,6845.16
20260120,688066,severe_override_positive,reversal_watch,12,13,39.86,200,7972.0,5.0,7.972,3.986,16.958,36.89,577.042
20260126,300045,reversal_watch,reversal_watch,60,61,29.46,800,23568.0,7.0704,23.568,11.784,42.4224,28.74,533.5776
20260126,300342,severe_override_positive,reversal_watch,83,84,56.86,800,45488.0,13.6464,45.488,22.744,81.8784,54.6,1726.1216
20260126,688066,reversal_watch,reversal_watch,21,22,39.53,200,7906.0,5.0,7.906,3.953,16.859,38.06,277.141
20260128,300342,reversal_watch,reversal_watch,21,22,54.28,1600,86848.0,26.0544,86.848,43.424,156.3264,53.43,1203.6736
