trade_date,symbol,start_of_day_quantity,same_day_new_lots_quantity,intraday_sell_quantity,residual_carried_quantity_after_intraday,same_day_reduce_close_requested,same_day_reduce_close_effective,same_day_reduce_close_clipped,same_day_new_lots_protected
20251118,688523,1400,700,0,1400,700,700,0,700
20251126,300045,100,0,0,100,100,100,0,0
20251216,688523,1500,0,1500,0,0,0,0,0
20251217,688066,200,2300,0,200,0,0,0,2300
20251219,688523,1500,0,1500,0,0,0,0,0
20260113,000738,0,4000,0,0,0,0,0,4000
20260113,601698,200,1600,200,0,0,0,0,1600
20260115,300045,2900,0,2900,0,0,0,0,0
20260115,601698,1800,0,1800,0,0,0,0,0
20260115,688066,200,0,200,0,0,0,0,0
20260116,688066,200,0,0,200,0,0,0,0
20260120,300342,3000,0,3000,0,2200,0,2200,0
20260120,688066,200,0,200,0,0,0,0,0
20260120,688523,0,0,0,0,0,0,0,0
20260126,300045,800,2400,800,0,0,0,0,2400
20260126,300342,800,1400,800,0,600,0,600,1400
20260126,688066,200,0,200,0,0,0,0,0
20260126,688523,0,0,0,0,0,0,0,0
20260128,300342,1600,0,1600,0,0,0,0,0
20260303,300342,0,0,0,0,0,0,0,0
20260303,601698,0,0,0,0,0,0,0,0
20260401,300342,0,0,0,0,0,0,0,0
20260401,688523,0,0,0,0,0,0,0,0
20260403,688066,0,0,0,0,0,0,0,0
