signal_trade_date,execution_trade_date,symbol,action,supervision_label,target_tier,predicted_tier,matched,open_to_close_return,ret15,ret30,ret60,draw60,close_loc15,close_loc60
20251114,20251117,003009,open,ambiguous_non_override,none,unmatched,True,-0.02594657,-0.01364597,-0.00538151,-0.01537574,-0.01902748,0.06451613,0.13194444
20251114,20251117,688523,open,clean_control,none,unmatched,True,0.01082251,-0.01226551,0.00649351,0.00649351,-0.01767677,0.03,0.59821429
20251114,20251117,688568,open,ambiguous_non_override,none,unmatched,True,-0.001221,0.004884,0.002442,0.01465201,-0.0019536,0.44230769,0.81927711
20251114,20251117,688066,open,clean_control,none,unmatched,True,-0.01177904,-0.01340374,-0.01624695,-0.01909017,-0.02518278,0.32653061,0.24193548
20251114,20251117,300045,open,clean_control,none,unmatched,True,0.03660714,0.01294643,0.00535714,0.00892857,0.0,0.78378378,0.52631579
20251117,20251118,003009,add,ambiguous_non_override,none,unmatched,True,-0.01886792,-0.01144119,-0.01284625,-0.01324769,-0.01645925,0.0,0.11851852
20251117,20251118,688523,add,ambiguous_non_override,mild_override_watch,mild_override_watch,True,-0.02517986,-0.03992806,-0.03920863,-0.05071942,-0.0528777,0.0,0.03947368
20251117,20251118,688066,add,clean_control,none,unmatched,True,-0.00737705,-0.01106557,-0.00860656,-0.00778689,-0.01639344,0.16,0.38181818
20251117,20251118,688568,add,clean_control,none,unmatched,True,-0.01129666,-0.01399804,-0.01178782,-0.01031434,-0.01571709,0.0,0.29333333
20251117,20251118,000738,open,ambiguous_non_override,none,unmatched,True,-0.0078534,-0.00366492,-0.00575916,-0.00418848,-0.00628272,0.07692308,0.23529412
20251118,20251119,300342,open,ambiguous_non_override,none,unmatched,True,-0.02058047,-0.00263852,-0.01108179,-0.02744063,-0.02796834,0.0,0.01388889
20251118,20251119,000738,add,clean_control,none,unmatched,True,0.01108765,0.00369588,0.00580781,0.00105597,-0.00105597,0.64285714,0.26666667
