trade_date,month_bucket,symbol,predicted_tier,open_to_close_return,ret15,ret30,ret60,draw60,close_loc15,close_loc60
20251118,2025-11,688523,mild_override_watch,-0.02517986,-0.03992806,-0.03920863,-0.05071942,-0.0528777,0.0,0.03947368
20251126,2025-11,300045,mild_override_watch,-0.06367521,-0.02820513,-0.03418803,-0.04871795,-0.04871795,0.3125,0.0
20251216,2025-12,688523,reversal_watch,-0.08345021,-0.0600748,-0.06965872,-0.07854137,-0.08789154,0.29395604,0.10638298
20251217,2025-12,688066,mild_override_watch,-0.04329004,-0.00829726,-0.04040404,-0.0494228,-0.0515873,0.1372549,0.02884615
20251219,2025-12,688523,reversal_watch,-0.06533333,-0.01555556,-0.03355556,-0.05555556,-0.06511111,0.0,0.10513447
20260113,2026-01,000738,reversal_watch,-0.07829615,-0.06774848,-0.07342799,-0.06815416,-0.0831643,0.01764706,0.1804878
20260113,2026-01,601698,severe_override_positive,-0.09987006,-0.09987006,-0.09987006,-0.09987006,-0.09987006,0.0,0.0
20260115,2026-01,300045,reversal_watch,-0.06246154,-0.03107692,-0.04184615,-0.05261538,-0.06123077,0.32214765,0.14070352
20260115,2026-01,601698,reversal_watch,-0.06963524,-0.02558029,-0.04192326,-0.05352913,-0.06916153,0.3460076,0.18539326
20260115,2026-01,688066,reversal_watch,-0.08329412,-0.048,-0.05811765,-0.06917647,-0.08235294,0.41359773,0.15864023
20260116,2026-01,688066,mild_override_watch,0.03580371,-0.01051577,-0.0215323,-0.0460691,-0.0460691,0.29927007,0.0
20260120,2026-01,300342,reversal_watch,-0.09356015,-0.0008679,-0.0218712,-0.05867037,-0.07134178,0.31380753,0.12807018
20260120,2026-01,688066,severe_override_positive,-0.12933679,-0.05310361,-0.08543781,-0.13146094,-0.13429313,0.23902439,0.01829268
20260120,2026-01,688523,reversal_watch,-0.0887109,-0.04654677,-0.06634426,-0.08810639,-0.09324467,0.17274939,0.05238829
20260126,2026-01,300045,reversal_watch,-0.07320219,-0.00032248,-0.02837794,-0.05095131,-0.05191874,0.78350515,0.01657459
20260126,2026-01,300342,severe_override_positive,-0.09,0.00666667,-0.015,-0.049,-0.04966667,0.85714286,0.01
20260126,2026-01,688066,reversal_watch,-0.09359371,-0.02214813,-0.06430102,-0.09121219,-0.09502262,0.02673797,0.03278689
20260126,2026-01,688523,reversal_watch,-0.08647887,-0.02830986,-0.05352113,-0.07957746,-0.0843662,0.598,0.05676127
20260128,2026-01,300342,reversal_watch,-0.0642732,-0.03047285,-0.05954466,-0.06077058,-0.07390543,0.3496144,0.1497006
20260303,2026-03,300342,severe_override_positive,-0.10323974,-0.05788337,-0.05593952,-0.06954644,-0.08315335,0.00369004,0.1627907
20260303,2026-03,601698,severe_override_positive,-0.09155107,-0.0517024,-0.04741488,-0.05498108,-0.07616646,0.02380952,0.2781457
20260401,2026-04,300342,mild_override_watch,0.02131336,-0.00192012,-0.01747312,-0.04723502,-0.04742704,0.77254902,0.00338983
20260401,2026-04,688523,mild_override_watch,-0.0397874,-0.020653,-0.04662111,-0.05558087,-0.05801063,0.53535354,0.04166667
20260403,2026-04,688066,reversal_watch,-0.06695939,-0.04555434,-0.05433589,-0.05543359,-0.06915477,0.01098901,0.18796992
