signal_trade_date,execution_trade_date,symbol,action,reason,signal_label_pg,phase_window_semantic,regime_proxy_semantic,event_state,pre_open_event_status,overnight_adverse_event_count,overnight_supportive_event_count,order_notional,weight_vs_initial_capital,open_to_close_return,close_location,intraday_range_return,close_from_high,gap_from_signal_close_to_open,forward_return_10,max_favorable_return_10,max_adverse_return_10,failure_type,supervision_label,ret15,ret30,ret60,draw15,draw60,close_loc15,close_loc60,prototype_flag,five_minute_row_count,sample_5min_head
20251114,20251117,003009,open,phase_geometry_preheat_probe,probe_eligibility_target,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,36421.0,0.036421,-0.02594657,0.05641026,0.03856041,-0.03503427,0.0,0.21576846,0.21576846,-0.0243513,,ambiguous_non_override,-0.013645973476840267,-0.0053815106669229396,-0.015375744762637034,-0.015183547953103949,-0.019027484143763207,0.06451612903225695,0.1319444444444431,False,50,"[{""bucket"": ""09:30"", ""open"": 52.03, ""high"": 52.36, ""low"": 51.59, ""close"": 51.99, ""volume"": 9517.0, ""amount"": 49473939.0}, {""bucket"": ""09:35"", ""open"": 52.0, ""high"": 52.48, ""low"": 51.84, ""close"": 51.84, ""volume"": 5391.0, ""amount"": 28131298.0}, {""bucket"": ""09:40"", ""open"": 51.8, ""high"": 51.8, ""low"": 51.24, ""close"": 51.32, ""volume"": 2390.0, ""amount"": 12288460.0}]"
20251114,20251117,688523,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,38808.0,0.038808,0.01082251,0.68333333,0.04411765,-0.01338028,0.0,0.37427746,0.37427746,-0.10368497,,clean_control,-0.012265512265512313,0.006493506493506551,0.006493506493506551,-0.01334776334776322,-0.017676767676767624,0.029999999999997584,0.5982142857142836,False,50,"[{""bucket"": ""09:30"", ""open"": 27.72, ""high"": 28.35, ""low"": 27.42, ""close"": 27.68, ""volume"": 8177.0, ""amount"": 22718489.0}, {""bucket"": ""09:35"", ""open"": 27.74, ""high"": 28.04, ""low"": 27.46, ""close"": 27.46, ""volume"": 4373.0, ""amount"": 12161404.0}, {""bucket"": ""09:40"", ""open"": 27.46, ""high"": 27.55, ""low"": 27.35, ""close"": 27.38, ""volume"": 4193.0, ""amount"": 11497348.0}]"
20251114,20251117,688568,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,36855.0,0.036855,-0.001221,0.19230769,0.02555283,-0.02012458,0.0,0.05571776,0.05571776,-0.03090024,,ambiguous_non_override,0.004884004884004867,0.0024420024420022113,0.0146520146520146,-0.00073260073260073,-0.0019536019536020577,0.4423076923076897,0.8192771084337293,False,50,"[{""bucket"": ""09:30"", ""open"": 40.95, ""high"": 41.44, ""low"": 40.95, ""close"": 41.24, ""volume"": 5259.0, ""amount"": 21660698.0}, {""bucket"": ""09:35"", ""open"": 41.22, ""high"": 41.3, ""low"": 41.02, ""close"": 41.05, ""volume"": 3139.0, ""amount"": 12924138.0}, {""bucket"": ""09:40"", ""open"": 41.09, ""high"": 41.21, ""low"": 40.92, ""close"": 41.15, ""volume"": 3488.0, ""amount"": 14318891.0}]"
20251114,20251117,688066,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,39392.0,0.039392,-0.01177904,0.52380952,0.02625,-0.01218027,0.0,0.12674897,0.12674897,-0.05802469,,clean_control,-0.013403736799350141,-0.01624695369618201,-0.019090170593013878,-0.019902518277822967,-0.025182778229082103,0.32653061224489693,0.24193548387096506,False,50,"[{""bucket"": ""09:30"", ""open"": 24.62, ""high"": 24.62, ""low"": 24.17, ""close"": 24.17, ""volume"": 10253.0, ""amount"": 24966532.0}, {""bucket"": ""09:35"", ""open"": 24.13, ""high"": 24.48, ""low"": 24.13, ""close"": 24.3, ""volume"": 4983.0, ""amount"": 12136455.0}, {""bucket"": ""09:40"", ""open"": 24.31, ""high"": 24.41, ""low"": 24.25, ""close"": 24.29, ""volume"": 3682.0, ""amount"": 8961091.0}]"
20251114,20251117,300045,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,38080.0,0.03808,0.03660714,0.78095238,0.046875,-0.0098081,0.0,-0.00089087,0.03429844,-0.04587973,,clean_control,0.012946428571428692,0.005357142857142838,0.008928571428571619,0.0,0.0,0.783783783783789,0.5263157894736882,False,50,"[{""bucket"": ""09:30"", ""open"": 22.4, ""high"": 22.77, ""low"": 22.4, ""close"": 22.58, ""volume"": 14042.0, ""amount"": 31744430.0}, {""bucket"": ""09:35"", ""open"": 22.57, ""high"": 22.74, ""low"": 22.53, ""close"": 22.59, ""volume"": 9608.0, ""amount"": 21772694.0}, {""bucket"": ""09:40"", ""open"": 22.55, ""high"": 22.69, ""low"": 22.53, ""close"": 22.69, ""volume"": 6081.0, ""amount"": 13736084.0}]"
20251117,20251118,003009,add,phase_geometry_preheat_probe,probe_eligibility_target,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,19928.0,0.019928,-0.01886792,0.0310559,0.03297153,-0.03092784,0.0,0.1781768,0.20185478,-0.03551697,,ambiguous_non_override,-0.011441188277800052,-0.01284624648735444,-0.013247691690084329,-0.011441188277800052,-0.016459253311922883,0.0,0.11851851851851587,False,50,"[{""bucket"": ""09:30"", ""open"": 49.82, ""high"": 50.35, ""low"": 49.78, ""close"": 50.08, ""volume"": 3648.0, ""amount"": 18224617.0}, {""bucket"": ""09:35"", ""open"": 50.1, ""high"": 50.1, ""low"": 49.53, ""close"": 49.53, ""volume"": 3470.0, ""amount"": 17291929.0}, {""bucket"": ""09:40"", ""open"": 49.55, ""high"": 49.55, ""low"": 49.25, ""close"": 49.25, ""volume"": 4197.0, ""amount"": 20745278.0}]"
20251117,20251118,688523,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,19460.0,0.01946,-0.02517986,0.50657895,0.05772883,-0.02692998,0.0,0.49464668,0.49464668,-0.11456103,,ambiguous_non_override,-0.039928057553956786,-0.03920863309352518,-0.05071942446043165,-0.039928057553956786,-0.05287769784172669,0.0,0.03947368421052773,True,50,"[{""bucket"": ""09:30"", ""open"": 27.8, ""high"": 27.85, ""low"": 27.16, ""close"": 27.31, ""volume"": 7008.0, ""amount"": 19225826.0}, {""bucket"": ""09:35"", ""open"": 27.31, ""high"": 27.45, ""low"": 26.91, ""close"": 26.91, ""volume"": 8293.0, ""amount"": 22507810.0}, {""bucket"": ""09:40"", ""open"": 26.89, ""high"": 26.95, ""low"": 26.69, ""close"": 26.69, ""volume"": 7405.0, ""amount"": 19855769.0}]"
20251117,20251118,688066,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,19520.0,0.01952,-0.00737705,0.4,0.02291667,-0.01344196,0.0,0.19030004,0.19030004,-0.05918619,,clean_control,-0.011065573770491777,-0.008606557377049073,-0.0077868852459015425,-0.0143442622950819,-0.016393442622950727,0.1599999999999966,0.3818181818181829,False,50,"[{""bucket"": ""09:30"", ""open"": 24.4, ""high"": 24.4, ""low"": 24.05, ""close"": 24.28, ""volume"": 5208.0, ""amount"": 12597313.0}, {""bucket"": ""09:35"", ""open"": 24.28, ""high"": 24.55, ""low"": 24.21, ""close"": 24.49, ""volume"": 5458.0, ""amount"": 13335846.0}, {""bucket"": ""09:40"", ""open"": 24.48, ""high"": 24.48, ""low"": 24.1, ""close"": 24.13, ""volume"": 4642.0, ""amount"": 11270064.0}]"
20251117,20251118,688568,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,16288.0,0.016288,-0.01129666,0.35555556,0.0225338,-0.01420176,0.0,0.08288509,0.08288509,-0.02616137,,clean_control,-0.013998035363457784,-0.011787819253438081,-0.01031434184675839,-0.013998035363457784,-0.015717092337917515,0.0,0.29333333333333184,False,50,"[{""bucket"": ""09:30"", ""open"": 40.72, ""high"": 40.72, ""low"": 40.28, ""close"": 40.54, ""volume"": 3514.0, ""amount"": 14244052.0}, {""bucket"": ""09:35"", ""open"": 40.61, ""high"": 40.83, ""low"": 40.54, ""close"": 40.66, ""volume"": 1890.0, ""amount"": 7688572.0}, {""bucket"": ""09:40"", ""open"": 40.68, ""high"": 40.68, ""low"": 40.15, ""close"": 40.15, ""volume"": 4965.0, ""amount"": 20031446.0}]"
20251117,20251118,000738,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,38200.0,0.0382,-0.0078534,0.32258065,0.01644562,-0.01096033,0.0,-0.00939457,0.0151357,-0.02609603,,ambiguous_non_override,-0.00366492146596864,-0.005759162303665022,-0.004188481675392763,-0.004188481675392763,-0.006282722513089034,0.07692307692308954,0.23529411764705638,False,50,"[{""bucket"": ""09:30"", ""open"": 19.1, ""high"": 19.15, ""low"": 19.02, ""close"": 19.05, ""volume"": 5540.0, ""amount"": 10564368.0}, {""bucket"": ""09:35"", ""open"": 19.05, ""high"": 19.07, ""low"": 19.03, ""close"": 19.03, ""volume"": 5505.0, ""amount"": 10485555.0}, {""bucket"": ""09:40"", ""open"": 19.04, ""high"": 19.05, ""low"": 19.02, ""close"": 19.03, ""volume"": 3334.0, ""amount"": 6346236.0}]"
20251118,20251119,300342,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,39795.0,0.039795,-0.02058047,0.19444444,0.03908795,-0.03030303,0.0,0.04949974,0.05160611,-0.07266983,,ambiguous_non_override,-0.0026385224274406704,-0.011081794195250683,-0.027440633245382595,-0.0026385224274406704,-0.027968337730870596,0.0,0.013888888888886147,False,50,"[{""bucket"": ""09:30"", ""open"": 18.95, ""high"": 19.09, ""low"": 18.91, ""close"": 19.06, ""volume"": 6046.0, ""amount"": 11482100.0}, {""bucket"": ""09:35"", ""open"": 19.08, ""high"": 19.14, ""low"": 19.06, ""close"": 19.1, ""volume"": 7582.0, ""amount"": 14486751.0}, {""bucket"": ""09:40"", ""open"": 19.09, ""high"": 19.1, ""low"": 18.9, ""close"": 18.9, ""volume"": 5424.0, ""amount"": 10298944.0}]"
20251118,20251119,000738,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,20834.0,0.020834,0.01108765,0.82142857,0.01479915,-0.00260417,0.0,-0.00949868,0.02638522,-0.01530343,,clean_control,0.0036958817317847004,0.0058078141499471325,0.001055966209081216,-0.001055966209081327,-0.001055966209081327,0.6428571428571556,0.2666666666666635,False,50,"[{""bucket"": ""09:30"", ""open"": 18.94, ""high"": 19.02, ""low"": 18.92, ""close"": 18.97, ""volume"": 5916.0, ""amount"": 11233415.0}, {""bucket"": ""09:35"", ""open"": 18.98, ""high"": 19.06, ""low"": 18.96, ""close"": 19.02, ""volume"": 4111.0, ""amount"": 7818326.0}, {""bucket"": ""09:40"", ""open"": 19.04, ""high"": 19.04, ""low"": 18.99, ""close"": 19.01, ""volume"": 2688.0, ""amount"": 5111959.0}]"
20251118,20251119,600879,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,39886.0,0.039886,-0.00371058,0.625,0.01503759,-0.00555556,0.0,0.08379888,0.08379888,-0.03072626,,clean_control,-0.002782931354359919,-0.004638218923933124,-0.011131725417439675,-0.0037105751391465214,-0.01298701298701288,0.2,0.13333333333333175,False,50,"[{""bucket"": ""09:30"", ""open"": 10.78, ""high"": 10.79, ""low"": 10.75, ""close"": 10.76, ""volume"": 23639.0, ""amount"": 25469736.0}, {""bucket"": ""09:35"", ""open"": 10.76, ""high"": 10.79, ""low"": 10.75, ""close"": 10.78, ""volume"": 11707.0, ""amount"": 12612531.0}, {""bucket"": ""09:40"", ""open"": 10.78, ""high"": 10.78, ""low"": 10.74, ""close"": 10.75, ""volume"": 12113.0, ""amount"": 13030600.0}]"
20251118,20251119,601698,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,39710.0,0.03971,-0.00430622,0.35714286,0.01352004,-0.00857551,0.0,0.01148325,0.02200957,-0.03444976,,clean_control,0.0014354066985646785,-0.0043062200956938135,-0.0071770334928229484,-0.004784688995215225,-0.009090909090908927,0.6842105263157924,0.14285714285714105,False,50,"[{""bucket"": ""09:30"", ""open"": 20.9, ""high"": 20.99, ""low"": 20.8, ""close"": 20.86, ""volume"": 11650.0, ""amount"": 24369691.0}, {""bucket"": ""09:35"", ""open"": 20.86, ""high"": 20.96, ""low"": 20.85, ""close"": 20.9, ""volume"": 13766.0, ""amount"": 28773706.0}, {""bucket"": ""09:40"", ""open"": 20.9, ""high"": 20.95, ""low"": 20.88, ""close"": 20.93, ""volume"": 7062.0, ""amount"": 14763532.0}]"
20251118,20251119,600118,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,37548.0,0.037548,-0.01390221,0.14117647,0.0207216,-0.01743492,0.0,0.03216445,0.05006046,-0.0362757,,ambiguous_non_override,-0.00023969319271333056,-0.011744966442953086,-0.015819750719079484,-0.005512943432406492,-0.016778523489932806,0.5789473684210565,0.04705882352941108,False,50,"[{""bucket"": ""09:30"", ""open"": 41.72, ""high"": 41.86, ""low"": 41.53, ""close"": 41.58, ""volume"": 20866.0, ""amount"": 87079997.0}, {""bucket"": ""09:35"", ""open"": 41.55, ""high"": 41.87, ""low"": 41.49, ""close"": 41.69, ""volume"": 18004.0, ""amount"": 75060733.0}, {""bucket"": ""09:40"", ""open"": 41.71, ""high"": 41.77, ""low"": 41.57, ""close"": 41.71, ""volume"": 7595.0, ""amount"": 31653157.0}]"
20251119,20251120,300342,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,18590.0,0.01859,0.00215169,0.38333333,0.0326087,-0.01947368,0.0,0.07165948,0.07596983,-0.05118534,,clean_control,-0.007530930607853703,0.0032275416890801267,0.004303388918773576,-0.010220548682087216,-0.010220548682087216,0.17857142857143038,0.6000000000000032,False,50,"[{""bucket"": ""09:30"", ""open"": 18.59, ""high"": 18.68, ""low"": 18.58, ""close"": 18.6, ""volume"": 3835.0, ""amount"": 7145586.0}, {""bucket"": ""09:35"", ""open"": 18.6, ""high"": 18.61, ""low"": 18.49, ""close"": 18.51, ""volume"": 3283.0, ""amount"": 6085938.0}, {""bucket"": ""09:40"", ""open"": 18.51, ""high"": 18.53, ""low"": 18.4, ""close"": 18.45, ""volume"": 7749.0, ""amount"": 14307820.0}]"
20251119,20251120,601698,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,18801.0,0.018801,-0.00813787,0.03846154,0.01255432,-0.01192179,0.0,-0.00432484,0.0264296,-0.03027391,,ambiguous_non_override,-0.005265677357587317,0.0004786979415987158,-0.0009573958831976537,-0.007180469123982847,-0.007180469123982847,0.1818181818181921,0.5652173913043579,False,50,"[{""bucket"": ""09:30"", ""open"": 20.89, ""high"": 20.96, ""low"": 20.8, ""close"": 20.83, ""volume"": 10528.0, ""amount"": 21974731.0}, {""bucket"": ""09:35"", ""open"": 20.83, ""high"": 20.84, ""low"": 20.74, ""close"": 20.74, ""volume"": 11392.0, ""amount"": 23689907.0}, {""bucket"": ""09:40"", ""open"": 20.76, ""high"": 20.83, ""low"": 20.74, ""close"": 20.78, ""volume"": 5458.0, ""amount"": 11343926.0}]"
