trade_date,symbol,month_bucket,regime_label,horizon_pnl_5d,matched_local_deferral
20251216,688523,2025-12,followthrough_benefit_case,-1587.0,False
20251219,688523,2025-12,rebound_cost_case,3036.0,True
20260113,000738,2026-01,rebound_cost_case,5000.0,False
20260115,300045,2026-01,followthrough_benefit_case,-5550.0,False
20260115,601698,2026-01,followthrough_benefit_case,-2898.0,False
20260115,688066,2026-01,followthrough_benefit_case,-4531.0,False
20260120,300342,2026-01,rebound_cost_case,3077.0,False
20260120,688523,2026-01,rebound_cost_case,1920.0,False
20260126,300045,2026-01,followthrough_benefit_case,-8512.0,False
20260126,688066,2026-01,followthrough_benefit_case,-25254.0,False
20260126,688523,2026-01,followthrough_benefit_case,-10388.0,False
20260128,300342,2026-01,followthrough_benefit_case,-1819.0,False
