trade_date,top_symbol,top_symbol_forward_return_10,top_positive_forward_share,positive_symbol_count,probe_count,full_count,probe_plus_full_count,de_risk_count,board_drawdown,local_only_rebound_label,guidance
20260115,000738,0.16148216,0.88781916,2,0,0,0,6,-0.12695396,local_only_rebound_watch,treat_as_local_strength_inside_locked_board_not_board_revival
20260130,000738,0.20548506,0.91600085,2,1,0,1,0,-0.20215259,local_only_rebound_watch,treat_as_local_strength_inside_locked_board_not_board_revival
20260202,000738,0.21777967,0.792266,3,1,0,1,0,-0.20977322,local_only_rebound_watch,treat_as_local_strength_inside_locked_board_not_board_revival
20260312,300342,0.21450802,1.0,1,1,0,1,0,-0.24156736,local_only_rebound_watch,treat_as_local_strength_inside_locked_board_not_board_revival
20260313,300342,0.23548307,1.0,1,1,0,1,0,-0.26617285,local_only_rebound_watch,treat_as_local_strength_inside_locked_board_not_board_revival
20260316,300342,0.28329759,1.0,1,1,0,1,0,-0.27108916,local_only_rebound_watch,treat_as_local_strength_inside_locked_board_not_board_revival
20260317,300342,0.23173378,0.73012863,4,1,0,1,0,-0.29510649,local_only_rebound_watch,treat_as_local_strength_inside_locked_board_not_board_revival
20260318,300342,0.1830516,1.0,1,0,0,0,11,-0.26475694,local_only_rebound_watch,treat_as_local_strength_inside_locked_board_not_board_revival
20260319,300342,0.22350885,1.0,1,1,0,1,0,-0.2712944,local_only_rebound_watch,treat_as_local_strength_inside_locked_board_not_board_revival
20260320,300342,0.222559,1.0,1,1,0,1,0,-0.2928626,local_only_rebound_watch,treat_as_local_strength_inside_locked_board_not_board_revival
