open_to_60m_threshold,continuation_threshold,burst_amount_share_cap,matched_count,persistent_hit_count,counterfactual_hit_count,precision,coverage
0.01,0.005,0.32,8,8,0,1.0,0.8
0.01,0.005,0.35,8,8,0,1.0,0.8
0.01,0.005,0.4,9,9,0,1.0,0.9
0.01,0.01,0.32,5,5,0,1.0,0.5
0.01,0.01,0.35,5,5,0,1.0,0.5
0.01,0.01,0.4,6,6,0,1.0,0.6
0.015,0.005,0.32,7,7,0,1.0,0.7
0.015,0.005,0.35,7,7,0,1.0,0.7
0.015,0.005,0.4,8,8,0,1.0,0.8
0.015,0.01,0.32,5,5,0,1.0,0.5
0.015,0.01,0.35,5,5,0,1.0,0.5
0.015,0.01,0.4,6,6,0,1.0,0.6
