trade_date,symbol,month_bucket,reversal_minute,horizon_pnl_5d,regime_label,open_burst_return_5m,return_15m,down_amount_share_60,up_amount_share_60,burst_amount_share_5,burst_amount_share_15,post_reversal_up_amount_share,post_reversal_close_return_to_hour_close
20251216,688523,2025-12,3,-1587.0,followthrough_benefit_case,-0.073165,-0.060075,0.413273,0.559657,0.249464,0.466299,0.567746,-0.0145
20251219,688523,2025-12,43,3036.0,rebound_cost_case,0.000444,-0.015556,0.496608,0.400555,0.241382,0.460409,0.482301,-0.004217
20260113,000738,2026-01,4,5000.0,rebound_cost_case,-0.06572,-0.067748,0.606673,0.346557,0.233436,0.556263,0.417267,-0.012892
20260115,300045,2026-01,32,-5550.0,followthrough_benefit_case,-0.018462,-0.031077,0.599764,0.370628,0.223653,0.488127,0.531428,-0.001945
20260115,601698,2026-01,23,-2898.0,followthrough_benefit_case,-0.030554,-0.02558,0.580979,0.386417,0.185711,0.43613,0.480835,-0.00125
20260115,688066,2026-01,9,-4531.0,followthrough_benefit_case,-0.044,-0.048,0.555342,0.391293,0.168234,0.570486,0.489073,-0.00528
20260120,300342,2026-01,41,3077.0,rebound_cost_case,0.01649,-0.000868,0.548765,0.425217,0.233922,0.438838,0.626315,-0.006777
20260120,688523,2026-01,12,1920.0,rebound_cost_case,-0.017077,-0.046547,0.586609,0.403287,0.120958,0.385142,0.457789,-0.036102
20260126,300045,2026-01,60,-8512.0,followthrough_benefit_case,-0.013544,-0.000322,0.584919,0.344925,0.220665,0.448548,0.0,-0.002711
20260126,688066,2026-01,21,-25254.0,followthrough_benefit_case,-0.010241,-0.022148,0.623955,0.351082,0.258886,0.5103,0.381232,-0.034657
20260126,688523,2026-01,4,-10388.0,followthrough_benefit_case,-0.035493,-0.02831,0.691109,0.281288,0.232699,0.454659,0.349156,-0.021853
20260128,300342,2026-01,21,-1819.0,followthrough_benefit_case,-0.04063,-0.030473,0.510948,0.416975,0.228699,0.456592,0.388786,-0.011975
