trade_date,symbol,start_of_day_quantity,eligible_intraday_sell_quantity,same_day_open_quantity,same_day_add_quantity,same_day_new_lots_quantity,same_day_reduce_quantity,same_day_close_quantity,end_of_day_quantity_without_intraday,has_same_day_primary_action
20251117,003009,0,0,700,0,700,0,0,700,True
20251117,300045,0,0,1700,0,1700,0,0,1700,True
20251117,688066,0,0,1600,0,1600,0,0,1600,True
20251117,688523,0,0,1400,0,1400,0,0,1400,True
20251117,688568,0,0,900,0,900,0,0,900,True
20251118,000738,0,0,2000,0,2000,0,0,2000,True
20251118,003009,700,700,0,400,400,300,0,800,True
20251118,300045,1700,1700,0,0,0,800,0,900,True
20251118,688066,1600,1600,0,800,800,800,0,1600,True
20251118,688523,1400,1400,0,700,700,700,0,1400,True
20251118,688568,900,900,0,400,400,400,0,900,True
20251119,000738,2000,2000,0,1100,1100,1000,0,2100,True
20251119,003009,800,800,0,0,0,0,0,800,False
20251119,300045,900,900,0,0,0,0,0,900,False
20251119,300342,0,0,2100,0,2100,0,0,2100,True
20251119,600118,0,0,900,0,900,0,0,900,True
20251119,600879,0,0,3700,0,3700,0,0,3700,True
20251119,601698,0,0,1900,0,1900,0,0,1900,True
20251119,688066,1600,1600,0,0,0,800,0,800,True
20251119,688523,1400,1400,0,0,0,0,0,1400,False
20251119,688568,900,900,0,0,0,400,0,500,True
20251120,000738,2100,2100,0,0,0,1000,0,1100,True
20251120,002085,0,0,2500,0,2500,0,0,2500,True
20251120,002465,0,0,3400,0,3400,0,0,3400,True
20251120,003009,800,800,0,0,0,400,0,400,True
20251120,300045,900,900,0,0,0,400,0,500,True
20251120,300342,2100,2100,0,1000,1000,1000,0,2100,True
20251120,600118,900,900,0,0,0,0,0,900,False
20251120,600879,3700,3700,0,1800,1800,1800,0,3700,True
20251120,601698,1900,1900,0,900,900,900,0,1900,True
20251120,688066,800,800,0,0,0,400,0,400,True
20251120,688523,1400,1400,0,0,0,700,0,700,True
20251120,688568,500,500,0,0,0,200,0,300,True
20251121,000738,1100,1100,0,0,0,500,0,600,True
20251121,002085,2500,2500,0,1300,1300,1200,0,2600,True
20251121,002465,3400,3400,0,1700,1700,1700,0,3400,True
20251121,003009,400,400,0,0,0,200,0,200,True
20251121,300045,500,500,0,0,0,200,0,300,True
20251121,300342,2100,2100,0,0,0,0,0,2100,False
20251121,600118,900,900,0,400,400,400,0,900,True
20251121,600879,3700,3700,0,0,0,1800,0,1900,True
20251121,601698,1900,1900,0,0,0,900,0,1000,True
20251121,688066,400,400,0,0,0,200,0,200,True
20251121,688523,700,700,0,0,0,300,0,400,True
20251121,688568,300,300,0,0,0,100,0,200,True
20251124,000738,600,600,0,0,0,300,0,300,True
20251124,002085,2600,2600,0,0,0,1300,0,1300,True
20251124,002465,3400,3400,0,0,0,1700,0,1700,True
20251124,003009,200,200,0,0,0,100,0,100,True
20251124,300045,300,300,0,0,0,100,0,200,True
20251124,300342,2100,2100,0,0,0,1000,0,1100,True
20251124,600118,900,900,0,0,0,400,0,500,True
20251124,600879,1900,1900,0,0,0,900,0,1000,True
20251124,601698,1000,1000,0,0,0,500,0,500,True
20251124,688066,200,200,0,0,0,100,0,100,True
