trade_date,symbol,role_layer,regime_semantic,event_state,trend_return_20,up_day_rate,liquidity_amount_mean,turnover_rate_f_mean,volume_ratio_mean,elg_buy_sell_ratio_mean,limit_heat_rate,local_quality_support,local_heat_support,board_total_support,board_non_theme_support,board_heat_score,board_event_drought,forward_return_10,max_favorable_return_10,max_adverse_return_10,supervised_action_label
20240129,002465,control_core,weak_drift_chop,event_neutral,-0.17647059,0.25,353862.2801,1.839605,0.955,1.58867226,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02857143,0.02857143,-0.16380952,de_risk_target
20240130,002465,control_core,weak_drift_chop,event_neutral,-0.1848,0.25,344856.37435,1.80935,0.9525,1.57900532,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05495584,0.05986261,-0.13837095,de_risk_target
20240131,002465,control_core,weak_drift_chop,event_neutral,-0.21451876,0.25,345845.42695,1.83651,0.986,1.58405077,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12253375,0.12253375,-0.08826584,probe_eligibility_target
20240201,002465,control_core,weak_drift_chop,event_neutral,-0.17157275,0.3,341080.72875,1.82719,0.9925,1.63444728,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10152284,0.10152284,-0.10862944,de_risk_target
20240202,002465,control_core,weak_drift_chop,event_neutral,-0.21518987,0.3,344773.2307,1.87893,1.0405,1.62707041,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21935484,0.21935484,-0.05591398,probe_eligibility_target
20240205,002465,control_core,weak_drift_chop,event_neutral,-0.25844595,0.3,342277.24605,1.89613,1.0565,1.61564059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.35079727,0.35079727,0.09794989,full_eligibility_target
20240206,002465,control_core,sentiment_overdrive_transition,event_neutral,-0.17817562,0.35,356843.20875,2.00499,1.107,1.53080971,0.05,0.0,0.0,0.0,0.0,0.0,1.0,0.14211618,0.23029046,0.08298755,full_eligibility_target
20240207,002465,control_core,sentiment_overdrive_transition,event_neutral,-0.13,0.4,373262.54175,2.11115,1.137,1.08993875,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.10727969,0.13601533,0.01915709,full_eligibility_target
20240208,002465,control_core,sentiment_overdrive_transition,event_neutral,-0.0994152,0.4,389730.3759,2.20705,1.1525,0.96939271,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0974026,0.10018553,-0.01298701,full_eligibility_target
20240219,002465,control_core,sentiment_overdrive_transition,event_neutral,-0.1271534,0.4,399022.7066,2.26733,1.1525,0.97094515,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.11278195,0.11466165,0.01033835,full_eligibility_target
20240220,002465,control_core,sentiment_overdrive_transition,event_neutral,-0.07849829,0.4,400203.3508,2.284855,1.129,0.80098695,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.10833333,0.10833333,-0.00462963,full_eligibility_target
20240221,002465,control_core,sentiment_overdrive_transition,event_neutral,-0.0700692,0.4,395445.7516,2.26779,1.0835,0.97744432,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.09674419,0.11348837,0.0055814,full_eligibility_target
20240222,002465,control_core,sentiment_overdrive_transition,event_neutral,-0.05008787,0.45,394929.0061,2.273915,1.063,0.99412898,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.05920444,0.10730805,0.00370028,probe_eligibility_target
20240223,002465,control_core,sentiment_overdrive_transition,event_neutral,-0.04573439,0.5,381133.78285,2.202885,1.006,0.96688296,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.08294931,0.10322581,0.01474654,probe_eligibility_target
20240226,002465,control_core,sentiment_overdrive_transition,event_neutral,0.07692308,0.55,394397.90715,2.274405,1.0405,1.25295153,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.04232804,0.05555556,-0.02910053,probe_eligibility_target
20240227,002465,control_core,sentiment_overdrive_transition,event_neutral,0.10223048,0.6,395947.7659,2.27268,1.039,1.34307064,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.00084317,0.00927487,-0.07166948,neutral_hold
20240228,002465,control_core,weak_drift_chop,event_neutral,0.00824176,0.55,406757.02985,2.32251,1.061,1.31760789,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.09990917,0.09990917,0.03996367,full_eligibility_target
20240229,002465,control_core,sentiment_overdrive_transition,event_neutral,0.0185022,0.55,416816.38495,2.371865,1.0775,1.30978545,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.03633218,0.04757785,-0.00951557,probe_eligibility_target
20240301,002465,control_core,sentiment_overdrive_transition,event_neutral,0.08731618,0.55,423564.4213,2.402375,1.0835,1.29257007,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.00253593,0.02366864,-0.03212172,neutral_hold
20240304,002465,control_core,weak_drift_chop,event_neutral,0.12761905,0.6,422460.30585,2.389775,1.0625,1.30295084,0.1,0.0,0.0,0.0,0.0,0.0,1.0,-0.00422297,0.02280405,-0.03293919,neutral_hold
20240305,002465,control_core,weak_drift_chop,event_neutral,0.17468106,0.65,435574.55795,2.44735,1.0785,1.37791582,0.1,0.0,0.0,0.0,0.0,0.0,1.0,-0.02422723,0.01169591,-0.04344194,neutral_hold
20240306,002465,control_core,sentiment_overdrive_transition,event_neutral,0.22429907,0.65,442955.6482,2.477435,1.0805,1.36444538,0.1,0.0,0.0,0.0,0.0,0.0,1.0,-0.01696353,0.02714165,-0.028838,neutral_hold
20240307,002465,control_core,weak_drift_chop,event_neutral,0.16243655,0.65,443680.85785,2.465,1.056,1.35512596,0.1,0.0,0.0,0.0,0.0,0.0,1.0,-0.01921397,0.05764192,-0.01921397,neutral_hold
