trade_date,cash,market_value,equity,drawdown,held_symbols,board_overlay_equity,board_active_symbol_count
20251017,1000000.0,0.0,1000000.0,0.0,,1000000.0,12
20251020,1000000.0,0.0,1000000.0,0.0,,1016141.5677,12
20251021,1000000.0,0.0,1000000.0,0.0,,1021580.6679,12
20251022,1000000.0,0.0,1000000.0,0.0,,1013973.6819,12
20251023,1000000.0,0.0,1000000.0,0.0,,1010301.4319,12
20251024,1000000.0,0.0,1000000.0,0.0,,1056616.0048,12
20251027,1000000.0,0.0,1000000.0,0.0,,1073240.0116,12
20251028,1000000.0,0.0,1000000.0,0.0,,1072026.4915,12
20251029,1000000.0,0.0,1000000.0,0.0,,1086606.5469,12
20251030,1000000.0,0.0,1000000.0,0.0,,1073004.8967,12
20251031,1000000.0,0.0,1000000.0,0.0,,1057565.9416,12
20251103,1000000.0,0.0,1000000.0,0.0,,1077250.5904,12
20251104,1000000.0,0.0,1000000.0,0.0,,1051110.5351,12
20251105,1000000.0,0.0,1000000.0,0.0,,1048602.2066,12
20251106,1000000.0,0.0,1000000.0,0.0,,1037502.0406,12
20251107,1000000.0,0.0,1000000.0,0.0,,1059072.0158,12
20251110,1000000.0,0.0,1000000.0,0.0,,1069627.8395,12
20251111,1000000.0,0.0,1000000.0,0.0,,1047210.8704,12
20251112,1000000.0,0.0,1000000.0,0.0,,1058493.5493,12
20251113,1000000.0,0.0,1000000.0,0.0,,1063194.3747,12
20251114,1000000.0,0.0,1000000.0,0.0,,1042750.827,12
20251117,810292.3552,189916.0,1000208.3552,0.0,"003009,300045,688066,688523,688568",1047861.3454,12
20251118,785562.8426,210459.0,996021.8426,0.00418564,"000738,003009,300045,688066,688523,688568",1024377.7216,12
20251119,661969.4994,329902.0,991871.4994,0.00833512,"000738,003009,300045,300342,600118,600879,601698,688066,688523,688568",1013334.7617,12
20251120,665481.3278,325072.0,990553.3278,0.00965302,"000738,002085,002465,003009,300045,300342,600118,600879,601698,688066,688523,688568",1012554.1678,12
20251121,741166.034,241179.0,982345.034,0.0178596,"000738,002085,002465,003009,300045,300342,600118,600879,601698,688066,688523,688568",986923.8615,12
20251124,858394.6918,131239.0,989633.6918,0.01057246,"000738,002085,002465,003009,300045,300342,600118,600879,601698,688066,688523,688568",1048347.93,12
20251125,920564.2148,70568.0,991132.2148,0.00907425,"000738,002085,002465,300045,300342,600118,600879,601698,688523",1077242.6342,12
20251126,948696.8923,41957.0,990653.8923,0.00955247,"000738,002085,002465,300342,600118,600879,601698,688523",1052976.3558,12
20251127,960966.4153,29361.0,990327.4153,0.00987888,"002085,002465,300342,600118,600879,601698,688523",1058553.5971,12
20251128,940485.0358,57066.0,997551.0358,0.00265677,"002085,002465,300342,600118,600879,688523",1112566.3371,12
20251201,909240.9328,93339.0,1002579.9328,0.0,"002465,300342,688523,688568",1144215.9258,12
20251202,910408.3324,90433.0,1000841.3324,0.00173413,"300342,688523,688568",1136901.8877,12
20251203,928276.1124,70128.0,998404.1124,0.00416507,"300342,688523,688568",1110390.9741,12
20251204,813879.6684,192588.0,1006467.6684,0.0,"000738,300342,688066,688523,688568",1152581.0828,12
20251205,765277.9016,249644.0,1014921.9016,0.0,"000738,300342,600879,601698,688066,688523,688568",1192717.8648,12
20251208,576514.2685,438321.0,1014835.2685,8.536e-05,"000738,002465,003009,300342,600879,601698,688066,688523,688568",1198450.5284,12
20251209,502390.6754,513241.0,1015631.6754,0.0,"000738,002465,003009,300045,300342,600118,600879,601698,688066,688523,688568",1192963.3419,12
20251210,535755.2769,483257.0,1019012.2769,0.0,"000738,002465,003009,300045,300342,600118,600879,601698,688066,688523",1207812.5438,12
20251211,563463.1463,462517.0,1025980.1463,0.0,"000738,002465,003009,300045,300342,600118,600879,601698,688066,688523",1218716.4237,12
20251212,587658.4718,447308.0,1034966.4718,0.0,"002465,003009,300045,300342,600118,600879,601698,688066,688523",1239095.7116,12
20251215,587658.4718,462024.0,1049682.4718,0.0,"002465,003009,300045,300342,600118,600879,601698,688066,688523",1261258.9409,12
20251216,521357.4734,534662.0,1056019.4734,0.0,"002465,003009,300045,300342,600118,600879,601698,688066,688523,688568",1263728.9386,12
20251217,466631.8186,570105.0,1036736.8186,0.01825975,"002465,003009,300045,300342,600118,600879,601698,688066,688523,688568",1230041.5842,12
20251218,397276.3786,682278.0,1079554.3786,0.0,"000738,002465,003009,300045,300342,600118,600879,601698,688066,688523,688568",1306384.7819,12
20251219,330469.807,756559.0,1087028.807,0.0,"000738,002085,002465,003009,300045,300342,600118,600879,601698,688066,688523,688568",1312215.56,12
20251222,371352.371,723046.0,1094398.371,0.0,"000738,002085,002465,003009,300045,300342,600118,600879,601698,688066,688523,688568",1328460.7688,12
20251223,426456.7964,630027.0,1056483.7964,0.03464422,"000738,002085,002465,003009,300045,300342,600118,600879,601698,688066,688523,688568",1256717.9886,12
20251224,451144.6614,645859.0,1097003.6614,0.0,"000738,002085,002465,003009,300045,300342,600118,600879,601698,688066,688523,688568",1329250.5865,12
20251225,451144.6614,688699.0,1139843.6614,0.0,"000738,002085,002465,003009,300045,300342,600118,600879,601698,688066,688523,688568",1406639.343,12
20251226,451144.6614,720113.0,1171257.6614,0.0,"000738,002085,002465,003009,300045,300342,600118,600879,601698,688066,688523,688568",1467949.1135,12
