trade_date,open_count,add_count,reduce_count,close_count,buy_weight,sell_weight,net_weight,display_symbols,display_label,equity
20251117,5,0,0,0,0.189556,0.0,0.189556,003009/300045/688066/+2,"11-17 O5 +19.0%
003009/300045/688066/+2",1000208.3552
20251118,1,4,5,0,0.113396,0.088918,0.024478,000738/003009/300045/+3,"11-18 O1 A4 R5 +2.4%
000738/003009/300045/+3",996021.8426
20251119,4,1,3,0,0.177773,0.05442,0.123353,000738/300342/600118/+4,"11-19 O4 A1 R3 +12.3%
000738/300342/600118/+4",991871.4994
20251120,2,3,9,0,0.136198,0.140078,-0.00388,000738/002085/002465/+8,"11-20 O2 A3 R9 -0.4%
000738/002085/002465/+8",990553.3278
20251121,0,3,11,0,0.055845,0.13183,-0.075985,000738/002085/002465/+8,"11-21 A3 R11 -7.6%
000738/002085/002465/+8",982345.034
20251124,0,0,12,0,0.0,0.117467,-0.117467,000738/002085/002465/+9,"11-24 R12 -11.7%
000738/002085/002465/+9",989633.6918
20251125,0,0,8,3,0.0,0.062318,-0.062318,000738/002085/002465/+8,"11-25 R8 C3 -6.2%
000738/002085/002465/+8",991132.2148
20251126,0,0,7,1,0.0,0.028215,-0.028215,000738/002085/002465/+5,"11-26 R7 C1 -2.8%
000738/002085/002465/+5",990653.8923
20251127,0,0,5,1,0.0,0.012318,-0.012318,000738/002085/002465/+3,"11-27 R5 C1 -1.2%
000738/002085/002465/+3",990327.4153
20251128,0,1,6,1,0.03564,0.015245,0.020395,002085/002465/300342/+4,"11-28 A1 R6 C1 +2.0%
002085/002465/300342/+4",997551.0358
20251201,1,0,1,3,0.03951,0.00833,0.03118,002085/002465/600118/+2,"12-01 O1 R1 C3 +3.1%
002085/002465/600118/+2",1002579.9328
20251202,0,1,1,1,0.017604,0.018824,-0.00122,002465/688568,"12-02 A1 R1 C1 -0.1%
002465/688568",1000841.3324
20251203,0,0,1,0,0.0,0.0179,-0.0179,688568,"12-03 R1 -1.8%
688568",998404.1124
20251204,2,1,0,0,0.114305,0.0,0.114305,000738/300342/688066,"12-04 O2 A1 +11.4%
000738/300342/688066",1006467.6684
20251205,2,2,4,0,0.115961,0.067576,0.048385,000738/300342/600879/+3,"12-05 O2 A2 R4 +4.8%
000738/300342/600879/+3",1014921.9016
20251208,2,3,3,0,0.222752,0.034235,0.188517,000738/002465/003009/+4,"12-08 O2 A3 R3 +18.9%
000738/002465/003009/+4",1014835.2685
20251209,2,0,4,0,0.137174,0.063281,0.073893,000738/300045/600118/+3,"12-09 O2 R4 +7.4%
000738/300045/600118/+3",1015631.6754
20251210,0,2,5,1,0.068971,0.102586,-0.033615,000738/002465/600879/+3,"12-10 A2 R5 C1 -3.4%
000738/002465/600879/+3",1019012.2769
20251211,0,1,4,0,0.025047,0.05288,-0.027833,000738/002465/300342/+2,"12-11 A1 R4 -2.8%
000738/002465/300342/+2",1025980.1463
20251212,0,0,2,1,0.0,0.024247,-0.024247,000738/002465/601698,"12-12 R2 C1 -2.4%
000738/002465/601698",1034966.4718
20251216,1,0,0,0,0.066248,0.0,0.066248,688568,"12-16 O1 +6.6%
688568",1056019.4734
20251217,0,1,1,0,0.063756,0.0091,0.054656,002465/688066,"12-17 A1 R1 +5.5%
002465/688066",1036736.8186
20251218,1,0,0,0,0.0693,0.0,0.0693,000738,"12-18 O1 +6.9%
000738",1079554.3786
20251219,1,1,1,0,0.102139,0.035478,0.066661,000738/002085,"12-19 O1 A1 R1 +6.7%
000738/002085",1087028.807
20251222,0,1,3,0,0.033748,0.074796,-0.041048,000738/002085/002465,"12-22 A1 R3 -4.1%
000738/002085/002465",1094398.371
20251223,0,0,3,0,0.0,0.055208,-0.055208,000738/002085/002465,"12-23 R3 -5.5%
000738/002085/002465",1056483.7964
20251224,0,0,2,0,0.0,0.024735,-0.024735,000738/002085,"12-24 R2 -2.5%
000738/002085",1097003.6614
20251229,0,0,5,0,0.0,0.081047,-0.081047,000738/002085/002465/+2,"12-29 R5 -8.1%
000738/002085/002465/+2",1188869.3269
20251230,0,0,4,1,0.0,0.04872,-0.04872,000738/002085/002465/+2,"12-30 R4 C1 -4.9%
000738/002085/002465/+2",1182756.1293
20251231,0,0,4,0,0.0,0.022829,-0.022829,000738/002085/688066/+1,"12-31 R4 -2.3%
000738/002085/688066/+1",1230419.8858
20260106,0,0,3,1,0.0,0.015988,-0.015988,000738/002085/688066/+1,"01-06 R3 C1 -1.6%
000738/002085/688066/+1",1290885.9038
20260108,0,0,0,2,0.0,0.008959,-0.008959,002085/688523,"01-08 C2 -0.9%
002085/688523",1292945.4653
20260113,1,1,0,0,0.184792,0.0,0.184792,000738/601698,"01-13 O1 A1 +18.5%
000738/601698",1415946.6317
20260115,0,0,1,0,0.0,0.0657,-0.0657,000738,"01-15 R1 -6.6%
000738",1327240.3717
20260119,0,0,0,1,0.0,0.02125,-0.02125,000738,"01-19 C1 -2.1%
000738",1339227.1217
20260120,0,0,6,0,0.0,0.506768,-0.506768,003009/300045/300342/+3,"01-20 R6 -50.7%
003009/300045/300342/+3",1328988.9393
20260121,0,0,0,1,0.0,0.021,-0.021,003009,"01-21 C1 -2.1%
003009",1323602.1393
20260126,1,3,4,0,0.337944,0.180305,0.157639,000738/300045/300342/+4,"01-26 O1 A3 R4 +15.8%
000738/300045/300342/+4",1328991.2351
20260213,0,0,2,0,0.0,0.022248,-0.022248,688066/688568,"02-13 R2 -2.2%
688066/688568",1311857.9006
20260224,0,0,0,4,0.0,0.168464,-0.168464,300045/300342/688066/+1,"02-24 C4 -16.8%
300045/300342/688066/+1",1311183.363
20260225,0,0,0,3,0.0,0.107644,-0.107644,600118/600879/601698,"02-25 C3 -10.8%
600118/600879/601698",1309750.0995
20260227,0,0,0,1,0.0,0.11308,-0.11308,000738,"02-27 C1 -11.3%
000738",1309426.5555
