execution_trade_date,signal_trade_date,symbol,action,reason,quantity,execution_price,notional,weight_vs_initial_capital,commission,stamp_tax,slippage,total_cost
20251117,20251114,003009,open,phase_geometry_preheat_probe,700,52.03,36421.0,0.036421,10.9263,0.0,18.2105,29.1368
20251117,20251114,688523,open,phase_geometry_preheat_probe,1400,27.72,38808.0,0.038808,11.6424,0.0,19.404,31.0464
20251117,20251114,688568,open,phase_geometry_preheat_probe,900,40.95,36855.0,0.036855,11.0565,0.0,18.4275,29.484
20251117,20251114,688066,open,phase_geometry_preheat_probe,1600,24.62,39392.0,0.039392,11.8176,0.0,19.696,31.5136
20251117,20251114,300045,open,phase_geometry_preheat_probe,1700,22.4,38080.0,0.03808,11.424,0.0,19.04,30.464
20251118,20251117,300045,reduce,tail_derisk_weak_drift_chop_proxy,800,23.38,18704.0,0.018704,5.6112,18.704,9.352,33.6672
20251118,20251117,688523,reduce,tail_derisk_weak_drift_chop_proxy,700,27.8,19460.0,0.01946,5.838,19.46,9.73,35.028
20251118,20251117,688066,reduce,tail_derisk_weak_drift_chop_proxy,800,24.4,19520.0,0.01952,5.856,19.52,9.76,35.136
20251118,20251117,688568,reduce,tail_derisk_weak_drift_chop_proxy,400,40.72,16288.0,0.016288,5.0,16.288,8.144,29.432
20251118,20251117,003009,reduce,tail_derisk_weak_drift_chop_proxy,300,49.82,14946.0,0.014946,5.0,14.946,7.473,27.419
20251118,20251117,003009,add,phase_geometry_preheat_probe,400,49.82,19928.0,0.019928,5.9784,0.0,9.964,15.9424
20251118,20251117,688523,add,phase_geometry_preheat_probe,700,27.8,19460.0,0.01946,5.838,0.0,9.73,15.568
20251118,20251117,688066,add,phase_geometry_preheat_probe,800,24.4,19520.0,0.01952,5.856,0.0,9.76,15.616
20251118,20251117,688568,add,phase_geometry_preheat_probe,400,40.72,16288.0,0.016288,5.0,0.0,8.144,13.144
20251118,20251117,000738,open,phase_geometry_preheat_probe,2000,19.1,38200.0,0.0382,11.46,0.0,19.1,30.56
20251119,20251118,688066,reduce,tail_derisk_risk_off_deterioration_proxy,800,24.22,19376.0,0.019376,5.8128,19.376,9.688,34.8768
20251119,20251118,688568,reduce,tail_derisk_risk_off_deterioration_proxy,400,40.26,16104.0,0.016104,5.0,16.104,8.052,29.156
20251119,20251118,000738,reduce,tail_derisk_risk_off_deterioration_proxy,1000,18.94,18940.0,0.01894,5.682,18.94,9.47,34.092
20251119,20251118,300342,open,phase_geometry_preheat_probe,2100,18.95,39795.0,0.039795,11.9385,0.0,19.8975,31.836
20251119,20251118,000738,add,phase_geometry_preheat_probe,1100,18.94,20834.0,0.020834,6.2502,0.0,10.417,16.6672
20251119,20251118,600879,open,phase_geometry_preheat_probe,3700,10.78,39886.0,0.039886,11.9658,0.0,19.943,31.9088
20251119,20251118,601698,open,phase_geometry_preheat_probe,1900,20.9,39710.0,0.03971,11.913,0.0,19.855,31.768
20251119,20251118,600118,open,phase_geometry_preheat_probe,900,41.72,37548.0,0.037548,11.2644,0.0,18.774,30.0384
20251120,20251119,300045,reduce,tail_derisk_weak_drift_chop_proxy,400,22.12,8848.0,0.008848,5.0,8.848,4.424,18.272
20251120,20251119,601698,reduce,tail_derisk_weak_drift_chop_proxy,900,20.89,18801.0,0.018801,5.6403,18.801,9.4005,33.8418
20251120,20251119,688523,reduce,tail_derisk_weak_drift_chop_proxy,700,26.01,18207.0,0.018207,5.4621,18.207,9.1035,32.7726
20251120,20251119,688066,reduce,tail_derisk_weak_drift_chop_proxy,400,23.81,9524.0,0.009524,5.0,9.524,4.762,19.286
20251120,20251119,688568,reduce,tail_derisk_weak_drift_chop_proxy,200,40.26,8052.0,0.008052,5.0,8.052,4.026,17.078
20251120,20251119,000738,reduce,tail_derisk_weak_drift_chop_proxy,1000,19.15,19150.0,0.01915,5.745,19.15,9.575,34.47
20251120,20251119,003009,reduce,tail_derisk_weak_drift_chop_proxy,400,48.8,19520.0,0.01952,5.856,19.52,9.76,35.136
20251120,20251119,600879,reduce,tail_derisk_weak_drift_chop_proxy,1800,10.77,19386.0,0.019386,5.8158,19.386,9.693,34.8948
20251120,20251119,300342,reduce,tail_derisk_weak_drift_chop_proxy,1000,18.59,18590.0,0.01859,5.577,18.59,9.295,33.462
20251120,20251119,300342,add,phase_geometry_preheat_probe,1000,18.59,18590.0,0.01859,5.577,0.0,9.295,14.872
20251120,20251119,601698,add,phase_geometry_preheat_probe,900,20.89,18801.0,0.018801,5.6403,0.0,9.4005,15.0408
