signal_trade_dates,signal_trade_date_display,execution_trade_date,signal_execution_display,pre_open_event_status,pre_open_event_tag,overnight_supportive_event_count,overnight_adverse_event_count,overnight_supportive_sources,overnight_adverse_sources,open_count,add_count,reduce_count,close_count,buy_weight,sell_weight,net_weight,display_symbols,equity
20251114,20251114,20251117,11-14>11-17,no_decisive_event,pre:none,0,0,,,5,0,0,0,0.189556,0.0,0.189556,003009/300045/688066/+2,1000208.3552
20251117,20251117,20251118,11-17>11-18,no_decisive_event,pre:none,0,0,,,1,4,5,0,0.113396,0.088918,0.024478,000738/003009/300045/+3,996021.8426
20251118,20251118,20251119,11-18>11-19,no_decisive_event,pre:none,0,0,,,4,1,3,0,0.177773,0.05442,0.123353,000738/300342/600118/+4,991871.4994
20251119,20251119,20251120,11-19>11-20,no_decisive_event,pre:none,0,0,,,2,3,9,0,0.136198,0.140078,-0.00388,000738/002085/002465/+8,990553.3278
20251120,20251120,20251121,11-20>11-21,no_decisive_event,pre:none,0,0,,,0,3,11,0,0.055845,0.13183,-0.075985,000738/002085/002465/+8,982345.034
20251121,20251121,20251124,11-21>11-24,no_decisive_event,pre:none,0,0,,,0,0,12,0,0.0,0.117467,-0.117467,000738/002085/002465/+9,989633.6918
20251124,20251124,20251125,11-24>11-25,no_decisive_event,pre:none,0,0,,,0,0,8,3,0.0,0.062318,-0.062318,000738/002085/002465/+8,991132.2148
20251125,20251125,20251126,11-25>11-26,no_decisive_event,pre:none,0,0,,,0,0,7,1,0.0,0.028215,-0.028215,000738/002085/002465/+5,990653.8923
20251126,20251126,20251127,11-26>11-27,no_decisive_event,pre:none,0,0,,,0,0,5,1,0.0,0.012318,-0.012318,000738/002085/002465/+3,990327.4153
20251127,20251127,20251128,11-27>11-28,no_decisive_event,pre:none,0,0,,,0,1,6,1,0.03564,0.015245,0.020395,002085/002465/300342/+4,997551.0358
20251128,20251128,20251201,11-28>12-01,no_decisive_event,pre:none,0,0,,,1,0,1,3,0.03951,0.00833,0.03118,002085/002465/600118/+2,1002579.9328
20251201,20251201,20251202,12-01>12-02,no_decisive_event,pre:none,0,0,,,0,1,1,1,0.017604,0.018824,-0.00122,002465/688568,1000841.3324
20251202,20251202,20251203,12-02>12-03,no_decisive_event,pre:none,0,0,,,0,0,1,0,0.0,0.0179,-0.0179,688568,998404.1124
20251203,20251203,20251204,12-03>12-04,no_decisive_event,pre:none,0,0,,,2,1,0,0,0.114305,0.0,0.114305,000738/300342/688066,1006467.6684
20251204,20251204,20251205,12-04>12-05,no_decisive_event,pre:none,0,0,,,2,2,4,0,0.115961,0.067576,0.048385,000738/300342/600879/+3,1014921.9016
20251205,20251205,20251208,12-05>12-08,no_decisive_event,pre:none,0,0,,,2,3,3,0,0.222752,0.034235,0.188517,000738/002465/003009/+4,1014835.2685
20251208,20251208,20251209,12-08>12-09,no_decisive_event,pre:none,0,0,,,2,0,4,0,0.137174,0.063281,0.073893,000738/300045/600118/+3,1015631.6754
20251209,20251209,20251210,12-09>12-10,no_decisive_event,pre:none,0,0,,,0,2,5,1,0.068971,0.102586,-0.033615,000738/002465/600879/+3,1019012.2769
20251210,20251210,20251211,12-10>12-11,no_decisive_event,pre:none,0,0,,,0,1,4,0,0.025047,0.05288,-0.027833,000738/002465/300342/+2,1025980.1463
20251211,20251211,20251212,12-11>12-12,no_decisive_event,pre:none,0,0,,,0,0,2,1,0.0,0.024247,-0.024247,000738/002465/601698,1034966.4718
20251215,20251215,20251216,12-15>12-16,no_decisive_event,pre:none,0,0,,,1,0,0,0,0.066248,0.0,0.066248,688568,1056019.4734
20251216,20251216,20251217,12-16>12-17,no_decisive_event,pre:none,0,0,,,0,1,1,0,0.063756,0.0091,0.054656,002465/688066,1036736.8186
20251217,20251217,20251218,12-17>12-18,no_decisive_event,pre:none,0,0,,,1,0,0,0,0.0693,0.0,0.0693,000738,1079554.3786
20251218,20251218,20251219,12-18>12-19,no_decisive_event,pre:none,0,0,,,1,1,1,0,0.102139,0.035478,0.066661,000738/002085,1087028.807
20251219,20251219,20251222,12-19>12-22,no_decisive_event,pre:none,0,0,,,0,1,3,0,0.033748,0.074796,-0.041048,000738/002085/002465,1094398.371
20251222,20251222,20251223,12-22>12-23,no_decisive_event,pre:none,0,0,,,0,0,3,0,0.0,0.055208,-0.055208,000738/002085/002465,1056483.7964
20251223,20251223,20251224,12-23>12-24,no_decisive_event,pre:none,0,0,,,0,0,2,0,0.0,0.024735,-0.024735,000738/002085,1097003.6614
20251226,20251226,20251229,12-26>12-29,no_decisive_event,pre:none,0,0,,,0,0,5,0,0.0,0.081047,-0.081047,000738/002085/002465/+2,1188869.3269
20251229,20251229,20251230,12-29>12-30,no_decisive_event,pre:none,0,0,,,0,0,4,1,0.0,0.04872,-0.04872,000738/002085/002465/+2,1182756.1293
20251230,20251230,20251231,12-30>12-31,no_decisive_event,pre:none,0,0,,,0,0,4,0,0.0,0.022829,-0.022829,000738/002085/688066/+1,1230419.8858
20260105,20260105,20260106,01-05>01-06,no_decisive_event,pre:none,0,0,,,0,0,3,1,0.0,0.015988,-0.015988,000738/002085/688066/+1,1290885.9038
20260107,20260107,20260108,01-07>01-08,no_decisive_event,pre:none,0,0,,,0,0,0,2,0.0,0.008959,-0.008959,002085/688523,1292945.4653
20260112,20260112,20260113,01-12>01-13,no_decisive_event,pre:none,0,0,,,1,1,0,0,0.184792,0.0,0.184792,000738/601698,1415946.6317
20260114,20260114,20260115,01-14>01-15,no_decisive_event,pre:none,0,0,,,0,0,1,0,0.0,0.0657,-0.0657,000738,1327240.3717
20260116,20260116,20260119,01-16>01-19,no_decisive_event,pre:none,0,0,,,0,0,0,1,0.0,0.02125,-0.02125,000738,1339227.1217
20260119,20260119,20260120,01-19>01-20,no_decisive_event,pre:none,0,0,,,0,0,6,0,0.0,0.506768,-0.506768,003009/300045/300342/+3,1328988.9393
20260120,20260120,20260121,01-20>01-21,no_decisive_event,pre:none,0,0,,,0,0,0,1,0.0,0.021,-0.021,003009,1323602.1393
20260123,20260123,20260126,01-23>01-26,no_decisive_event,pre:none,0,0,,,1,3,4,0,0.337944,0.180305,0.157639,000738/300045/300342/+4,1328991.2351
20260212,20260212,20260213,02-12>02-13,no_decisive_event,pre:none,0,0,,,0,0,2,0,0.0,0.022248,-0.022248,688066/688568,1311857.9006
20260213,20260213,20260224,02-13>02-24,no_decisive_event,pre:none,0,0,,,0,0,0,4,0.0,0.168464,-0.168464,300045/300342/688066/+1,1311183.363
20260224,20260224,20260225,02-24>02-25,no_decisive_event,pre:none,0,0,,,0,0,0,3,0.0,0.107644,-0.107644,600118/600879/601698,1309750.0995
20260226,20260226,20260227,02-26>02-27,no_decisive_event,pre:none,0,0,,,0,0,0,1,0.0,0.11308,-0.11308,000738,1309426.5555
