row_type,name,priority_or_status,payload
phase,negative_environment_semantics,ready_to_train,attention_distorted | capital_misaligned_with_board | board_fragile_divergence
phase,event_attention_layer,ready_to_train,event_trigger_validity | attention_anchor | attention_decoy
phase,capital_selection_layer,deferred_until_phase_2_labels_exist,capital_true_selection | followthrough_leader
phase,state_machine_integration,deferred_until_phase_1_to_3_labels_exist,lockout_veto | probe_reentry_allowed | unlock_confirmed | false_reentry_risk
phase,future_shadow_modules,blocked_until_explicit_future_shift,event_attention_divergence_shadow | reentry_unlock_shadow_module
label,board_weak_symbol_strong_concentration,already_retained_negative_module,frozen_complete
label,attention_distorted,learn_first,next_core_target
label,capital_misaligned_with_board,learn_first,next_core_target
label,board_fragile_divergence,learn_first,next_core_target
label,event_trigger_validity,learn_first,next_core_target
label,attention_anchor,learn_first,next_core_target
label,attention_decoy,learn_first,next_core_target
label,capital_true_selection,learn_second,deferred_until_attention_labels_exist
label,followthrough_leader,learn_last,deferred_until_true_selection_labels_exist
label,probe_reentry_allowed,future_shadow_only,deferred_until_environment_and_selection_labels_exist
label,unlock_confirmed,future_shadow_only,deferred_until_explicit_boundary_extension_and_shadow_shift
label,manifold_learning_representation,optional_late_exploration,deferred_until_label_stack_is_richer
blocker,shadow_boundary_frozen,active_blocker,retain_current_boundary
blocker,execution_authority_absent,active_blocker,4
blocker,add_positive_portability_failure,active_blocker,0.42343884
blocker,single_slot_template_unobserved,active_blocker,0
blocker,event_attention_capital_labels_not_yet_built,active_blocker,12
