trade_date,equity,cash,held_symbols,position_count,300308_qty,300502_qty,300757_qty,688498_qty,reconstructed_market_value
2023-04-28,1000000.0,1000000.0,CASH,0,0,0,0,0,0.0
2023-05-04,995749.1424,925118.1424,300502,1,0,1100,0,0,70631.0
2023-05-05,990733.1424,925118.1424,300502,1,0,1100,0,0,65615.0
2023-05-08,993252.1424,925118.1424,300502,1,0,1100,0,0,68134.0
2023-05-09,995826.1424,925118.1424,300502,1,0,1100,0,0,70708.0
2023-05-10,992834.1424,925118.1424,300502,1,0,1100,0,0,67716.0
2023-05-11,992097.1424,925118.1424,300502,1,0,1100,0,0,66979.0
2023-05-12,994165.1424,925118.1424,300502,1,0,1100,0,0,69047.0
2023-05-15,995089.1424,925118.1424,300502,1,0,1100,0,0,69971.0
2023-05-16,991107.1424,925118.1424,300502,1,0,1100,0,0,65989.0
2023-05-17,992724.1424,925118.1424,300502,1,0,1100,0,0,67606.0
2023-05-18,1006243.1424,925118.1424,300502,1,0,1100,0,0,81125.0
2023-05-19,998048.1424,925118.1424,300502,1,0,1100,0,0,72930.0
2023-05-22,993747.1424,925118.1424,300502,1,0,1100,0,0,68629.0
2023-05-23,994451.1424,925118.1424,300502,1,0,1100,0,0,69333.0
2023-05-24,995606.1424,925118.1424,300502,1,0,1100,0,0,70488.0
2023-05-25,1000523.1424,925118.1424,300502,1,0,1100,0,0,75405.0
2023-05-26,1001458.1424,925118.1424,300502,1,0,1100,0,0,76340.0
2023-05-29,1003757.1424,925118.1424,300502,1,0,1100,0,0,78639.0
2023-05-30,1009059.1424,925118.1424,300502,1,0,1100,0,0,83941.0
2023-05-31,1017991.1424,925118.1424,300502,1,0,1100,0,0,92873.0
2023-06-01,1015098.1424,925118.1424,300502,1,0,1100,0,0,89980.0
2023-06-02,1012271.1424,925118.1424,300502,1,0,1100,0,0,87153.0
2023-06-05,1013393.1424,925118.1424,300502,1,0,1100,0,0,88275.0
2023-06-06,1012568.1424,925118.1424,300502,1,0,1100,0,0,87450.0
2023-06-07,1013723.1424,925118.1424,300502,1,0,1100,0,0,88605.0
2023-06-08,986187.7504,829551.7504,"300308,300502",2,900,1100,0,0,156636.0
