checkpoint,is_strict_band,pc1_score,pc2_score,signal_trade_date,state_band,symbol
10:30,True,-1682810257.208173,-760884629.878079,2023-06-14,pc1_low__pc2_low,300308
11:00,True,-1312287408.319347,-858376118.956573,2023-06-14,pc1_low__pc2_low,300308
14:00,True,-2030090517.427773,-229716308.197285,2023-06-14,pc1_low__pc2_low,300308
14:30,True,-1916574812.869156,-255133874.236209,2023-06-14,pc1_low__pc2_low,300308
15:00,True,-1519697317.459929,-247364925.464238,2023-06-14,pc1_low__pc2_low,300308
10:30,True,-1001166292.480021,-812314781.751103,2023-06-14,pc1_low__pc2_low,300502
11:00,True,-840964799.67804,-943711391.857934,2023-06-14,pc1_low__pc2_low,300502
14:00,True,-2200589982.6939,-213913107.343803,2023-06-14,pc1_low__pc2_low,300502
14:30,True,-2242166390.654154,-206200682.845035,2023-06-14,pc1_low__pc2_low,300502
15:00,True,-1794433783.028831,-340843068.44843,2023-06-14,pc1_low__pc2_low,300502
10:30,True,-1971542765.188754,-564782296.55828,2023-12-08,pc1_low__pc2_low,300308
11:00,True,-2070964426.605373,-507264705.651842,2023-12-08,pc1_low__pc2_low,300308
14:00,True,-2076439617.692419,-76836669.485404,2023-12-08,pc1_low__pc2_low,300308
14:30,True,-2173642756.922656,-135194232.44329,2023-12-08,pc1_low__pc2_low,300308
15:00,True,-1986529810.891286,-102420921.470201,2023-12-08,pc1_low__pc2_low,300308
10:30,True,-2344101436.216928,-150065239.547737,2023-12-08,pc1_low__pc2_low,300502
11:00,True,-2201628549.232895,-289765907.080105,2023-12-08,pc1_low__pc2_low,300502
14:00,True,-2118682555.525773,-50592746.28125,2023-12-08,pc1_low__pc2_low,300502
14:30,True,-2212168446.852283,-1651295.787638,2023-12-08,pc1_low__pc2_low,300502
15:00,True,-1680777326.676695,-321088314.866286,2023-12-08,pc1_low__pc2_low,300502
