P_close_invalidation_realized_proxy_3d,P_close_opportunity_cost_proxy_3d,P_reduce_avoided_drawdown_proxy_3d,action_context,action_favored_3d,board_avg_return,board_breadth,board_phase,control_label,execution_open_price,execution_trade_date,expectancy_proxy_1d,expectancy_proxy_3d,expectancy_proxy_5d,f15_afternoon_return,f15_afternoon_volume_share,f15_amount_per_volume,f15_breakout_efficiency,f15_close_location,f15_close_vs_vwap,f15_failed_push_proxy,f15_high_time_ratio,f15_intraday_return,f15_last_bar_return,f15_last_bar_volume_share,f15_pullback_from_high,f15_range_pct,f30_afternoon_return,f30_afternoon_volume_share,f30_amount_per_volume,f30_breakout_efficiency,f30_candidate_add_confirmation,f30_candidate_add_threshold,f30_close_location,f30_close_vs_vwap,f30_confirmation_score,f30_failed_push_proxy,f30_high_time_ratio,f30_intraday_return,f30_last_bar_return,f30_last_bar_volume_share,f30_pullback_from_high,f30_range_pct,f5_afternoon_return,f5_afternoon_volume_share,f5_amount_per_volume,f5_breakout_efficiency,f5_close_location,f5_close_vs_vwap,f5_failed_push_proxy,f5_high_time_ratio,f5_intraday_return,f5_last_bar_return,f5_last_bar_volume_share,f5_pullback_from_high,f5_range_pct,f60_afternoon_return,f60_afternoon_volume_share,f60_amount_per_volume,f60_breakout_efficiency,f60_candidate_add_confirmation,f60_candidate_add_threshold,f60_close_location,f60_close_vs_vwap,f60_confirmation_score,f60_failed_push_proxy,f60_high_time_ratio,f60_intraday_return,f60_last_bar_return,f60_last_bar_volume_share,f60_pullback_from_high,f60_range_pct,fetch_status,forced_action_context,forward_close_return_1d,forward_close_return_3d,forward_close_return_5d,gross_exposure_after_close,held_before_signal,is_negative_enrichment,is_repaired_miss_window,max_adverse_return_1d,max_adverse_return_3d,max_adverse_return_5d,max_favorable_return_1d,max_favorable_return_3d,max_favorable_return_5d,miss_reading,reason,reduce_payoff_decay_vs_hold_proxy_3d,role_family,signal_trade_date,symbol,trade_date,window_end,window_start
,,,entry_vs_skip,False,,,main_markup,eligibility,68.02,2023-05-04,-0.116436,-0.210379,-0.215966,0.045461,0.456704,66.644763,0.594071,0.815668,0.031548,0.0,0.9375,0.060732,-0.01047,0.045948,-0.017096,0.10223,0.045461,0.456704,66.644763,0.594071,,,0.815668,0.029971,,0.0,1.0,0.060732,-0.008479,0.136574,-0.017096,0.10223,0.045461,0.456704,66.644763,0.594071,0.815668,0.0344,0.0,0.916667,0.060732,-0.004473,0.018277,-0.017096,0.10223,0.045461,0.456704,66.644763,0.594071,,,0.815668,0.032132,,0.0,1.0,0.060732,0.034333,0.294429,-0.017096,0.10223,success,,-0.056013,-0.089385,-0.094972,,False,,False,-0.079388,-0.139959,-0.139959,0.03793,0.03793,0.03793,,high_beta_core_module:eligibility,,high_beta_core_module,2023-04-28,300502,2023-04-28,2023-04-28 15:00:00,2023-04-28 09:25:00
,,,entry_vs_skip,True,,,main_markup,eligibility,106.1,2023-06-08,-0.004383,0.196418,0.328464,-0.024718,0.326035,108.507477,0.17867,0.463196,-0.003321,0.0,0.5625,0.00943,-0.002307,0.051712,-0.026913,0.052781,-0.024718,0.326035,108.507477,0.17867,,,0.463196,-0.010115,,0.0,0.625,0.00943,0.006986,0.102088,-0.026913,0.052781,-0.024718,0.326035,108.507477,0.17867,0.463196,-0.004144,0.0,0.520833,0.00943,0.001019,0.022295,-0.026913,0.052781,-0.024718,0.326035,108.507477,0.17867,,,0.463196,-0.008216,,0.0,0.75,0.00943,0.001482,0.164439,-0.026913,0.052781,success,,0.005844,0.145146,0.221018,,False,,False,-0.026673,-0.026673,-0.026673,0.032893,0.155891,0.268238,,core_module_leader:eligibility,,core_module_leader,2023-06-07,300308,2023-06-07,2023-06-07 15:00:00,2023-06-07 09:25:00
,,,add_vs_hold,False,,,divergence_and_decay,eligibility,49.0,2023-12-21,0.049592,0.023265,-0.049796,-0.012043,0.30138,49.648846,-0.762203,0.164063,-0.0071,1.0,0.0625,-0.039984,-0.006058,0.125423,-0.041667,0.052459,-0.012043,0.30138,49.648846,-0.762203,,,0.164063,-0.009643,,1.0,0.125,-0.039984,-0.01422,0.179349,-0.041667,0.052459,-0.012043,0.30138,49.648846,-0.762203,0.164063,-0.00716,1.0,0.020833,-0.039984,0.00449,0.033995,-0.041667,0.052459,-0.012043,0.30138,49.648846,-0.762203,,,0.164063,-0.00675,,1.0,0.25,-0.039984,-0.013627,0.226883,-0.041667,0.052459,success,,0.035918,0.009592,-0.040408,,True,,False,-0.022449,-0.022449,-0.04551,0.072245,0.072245,0.072245,,high_beta_core_module:eligibility,,high_beta_core_module,2023-12-20,300502,2023-12-20,2023-12-20 15:00:00,2023-12-20 09:25:00
,,,add_vs_hold,True,,,main_markup,eligibility,110.66,2024-02-06,0.184981,0.258901,0.670025,0.011195,0.413231,112.230558,0.417906,0.432008,-0.003013,0.0,0.6875,0.037037,-0.006388,0.045255,-0.04624,0.088625,0.011195,0.413231,112.230558,0.417906,,,0.432008,-0.002686,,0.0,0.75,0.037037,-0.009463,0.083334,-0.04624,0.088625,0.011195,0.413231,112.230558,0.417906,0.432008,-0.001326,0.0,0.645833,0.037037,-0.005682,0.015665,-0.04624,0.088625,0.011195,0.413231,112.230558,0.417906,,,0.432008,-0.000728,,0.0,0.75,0.037037,-0.034483,0.145259,-0.04624,0.088625,success,,0.128502,0.147659,0.441352,,True,,False,-0.007772,-0.007772,-0.007772,0.128502,0.238026,0.47289,,core_module_leader:eligibility,,core_module_leader,2024-02-05,300308,2024-02-05,2024-02-05 15:00:00,2024-02-05 09:25:00
,,,close_vs_hold,True,,,main_markup,holding_veto,178.75,2024-03-18,0.020951,-0.105594,-0.112755,0.052707,0.506615,173.550784,0.713306,0.809854,0.021764,0.0,0.8125,0.062036,-0.007221,0.06237,-0.015214,0.08697,0.052707,0.506615,173.550784,0.713306,,,0.809854,0.018999,,0.0,0.875,0.062036,-0.005662,0.114654,-0.015214,0.08697,0.052707,0.506615,173.550784,0.713306,0.809854,0.021562,0.0,0.791667,0.062036,0.000226,0.025814,-0.015214,0.08697,0.052707,0.506615,173.550784,0.713306,,,0.809854,0.020008,,0.0,1.0,0.062036,0.012618,0.273507,-0.015214,0.08697,success,,0.006937,-0.054769,-0.06193,,True,,False,-0.00649,-0.071329,-0.071329,0.041007,0.041007,0.041007,,core_module_leader:holding_veto,,core_module_leader,2024-03-15,300308,2024-03-15,2024-03-15 15:00:00,2024-03-15 09:25:00
,,,entry_vs_skip,False,,,main_markup,eligibility,106.14,2024-04-19,-0.077728,-0.132278,-0.004193,-0.014028,0.343646,105.695876,0.371668,0.629979,-0.001887,0.0,0.625,0.035415,-0.003287,0.056476,-0.03219,0.095286,-0.014028,0.343646,105.695876,0.371668,,,0.629979,-0.00817,,0.0,0.625,0.035415,-0.007203,0.100086,-0.03219,0.095286,-0.014028,0.343646,105.695876,0.371668,0.629979,0.002457,0.0,0.604167,0.035415,-0.0031,0.022581,-0.03219,0.095286,-0.014028,0.343646,105.695876,0.371668,,,0.629979,-0.00925,,0.0,0.75,0.035415,-0.013295,0.154863,-0.03219,0.095286,success,,-0.026286,-0.05521,0.032598,,False,,False,-0.057848,-0.083475,-0.083475,0.012813,0.012813,0.093367,,packaging_process_enabler:eligibility,,packaging_process_enabler,2024-04-18,300757,2024-04-18,2024-04-18 15:00:00,2024-04-18 09:25:00
,,,add_vs_hold,True,,,main_markup,eligibility,88.5,2025-06-04,0.076158,0.198983,0.212825,-0.008496,0.302563,86.872611,-0.347539,0.214286,-0.005757,1.0,0.1875,-0.009065,-0.001388,0.085487,-0.019973,0.026083,-0.008496,0.302563,86.872611,-0.347539,,,0.214286,-0.007102,,1.0,0.25,-0.009065,-0.001965,0.121631,-0.019973,0.026083,-0.008496,0.302563,86.872611,-0.347539,0.214286,-0.006171,1.0,0.166667,-0.009065,-0.000232,0.034097,-0.019973,0.026083,-0.008496,0.302563,86.872611,-0.347539,,,0.214286,-0.00609,,1.0,0.25,-0.009065,-0.004381,0.196435,-0.019973,0.026083,success,,0.045763,0.126893,0.125424,,True,,False,0.0,0.0,0.0,0.060791,0.144181,0.174802,,high_beta_core_module:eligibility,,high_beta_core_module,2025-06-03,300502,2025-06-03,2025-06-03 15:00:00,2025-06-03 09:25:00
,,,add_vs_hold,False,,,main_markup,eligibility,127.42,2025-07-03,0.020758,-0.035473,0.057958,0.009205,0.310458,123.701144,0.01371,0.863529,0.010114,0.0,0.25,0.00048,-0.00016,0.073877,-0.004619,0.035034,0.009205,0.310458,123.701144,0.01371,,,0.863529,0.007286,,0.0,0.25,0.00048,0.00048,0.125864,-0.004619,0.035034,0.009205,0.310458,123.701144,0.01371,0.863529,0.008772,0.0,0.229167,0.00048,-0.001279,0.026142,-0.004619,0.035034,0.009205,0.310458,123.701144,0.01371,,,0.863529,0.002657,,0.0,0.25,0.00048,0.011165,0.21563,-0.004619,0.035034,success,,0.01758,-0.007299,0.063805,,True,,False,-0.010752,-0.047245,-0.047245,0.027861,0.038142,0.082797,,high_beta_core_module:eligibility,,high_beta_core_module,2025-07-02,300502,2025-07-02,2025-07-02 15:00:00,2025-07-02 09:25:00
,,,entry_vs_skip,True,,,main_markup,eligibility,186.0,2025-07-25,-0.00172,0.186156,0.274785,0.010917,0.268899,186.916216,-0.454552,0.316547,-0.007989,0.0,0.0625,-0.027822,0.004175,0.047625,-0.039419,0.061207,0.010917,0.268899,186.916216,-0.454552,,,0.316547,-0.002826,,0.0,0.125,-0.027822,0.001839,0.080829,-0.039419,0.061207,0.010917,0.268899,186.916216,-0.454552,0.316547,-0.008629,0.0,0.041667,-0.027822,0.001027,0.015309,-0.039419,0.061207,0.010917,0.268899,186.916216,-0.454552,,,0.316547,0.001102,,0.0,0.25,-0.027822,-0.001725,0.117063,-0.039419,0.061207,success,,-0.004194,0.128656,0.169946,,False,,False,-0.008011,-0.009677,-0.009677,0.020968,0.134355,0.229032,,core_module_leader:eligibility,,core_module_leader,2025-07-24,300308,2025-07-24,2025-07-24 15:00:00,2025-07-24 09:25:00
,,,add_vs_hold,False,,,main_markup,eligibility,185.14,2025-08-01,-0.018851,-0.044831,-0.038511,-0.051151,0.461227,194.957742,-0.740022,0.070288,-0.030429,1.0,0.125,-0.049196,-0.002583,0.07021,-0.057954,0.066479,-0.051151,0.461227,194.957742,-0.740022,,,0.070288,-0.029012,,1.0,0.125,-0.049196,-0.003109,0.125865,-0.057954,0.066479,-0.051151,0.461227,194.957742,-0.740022,0.070288,-0.029081,1.0,0.083333,-0.049196,-0.001952,0.028741,-0.057954,0.066479,-0.051151,0.461227,194.957742,-0.740022,,,0.070288,-0.022171,,1.0,0.25,-0.049196,-0.00421,0.240764,-0.057954,0.066479,success,,-0.010911,-0.01453,-0.00821,,True,,False,-0.025386,-0.047748,-0.047748,0.034893,0.034893,0.034893,,high_beta_core_module:eligibility,,high_beta_core_module,2025-07-31,300502,2025-07-31,2025-07-31 15:00:00,2025-07-31 09:25:00
