action_context,action_favored_3d,board_avg_return,board_breadth,board_phase,control_label,execution_open_price,execution_trade_date,expectancy_proxy_1d,expectancy_proxy_3d,expectancy_proxy_5d,f15_afternoon_return,f15_afternoon_volume_share,f15_amount_per_volume,f15_body_ratio,f15_breakout_efficiency,f15_close_location,f15_close_vs_vwap,f15_failed_push_proxy,f15_high_time_ratio,f15_intraday_return,f15_last_bar_lower_shadow_ratio,f15_last_bar_return,f15_last_bar_upper_shadow_ratio,f15_last_bar_volume_share,f15_lower_shadow_ratio,f15_pullback_from_high,f15_range_pct,f15_upper_shadow_ratio,f30_afternoon_return,f30_afternoon_volume_share,f30_amount_per_volume,f30_body_ratio,f30_breakout_efficiency,f30_candidate_add_confirmation,f30_candidate_add_threshold,f30_close_location,f30_close_vs_vwap,f30_confirmation_score,f30_failed_push_proxy,f30_high_time_ratio,f30_intraday_return,f30_last_bar_lower_shadow_ratio,f30_last_bar_return,f30_last_bar_upper_shadow_ratio,f30_last_bar_volume_share,f30_lower_shadow_ratio,f30_pullback_from_high,f30_range_pct,f30_upper_shadow_ratio,f5_afternoon_return,f5_afternoon_volume_share,f5_amount_per_volume,f5_body_ratio,f5_breakout_efficiency,f5_close_location,f5_close_vs_vwap,f5_failed_push_proxy,f5_high_time_ratio,f5_intraday_return,f5_last_bar_lower_shadow_ratio,f5_last_bar_return,f5_last_bar_upper_shadow_ratio,f5_last_bar_volume_share,f5_lower_shadow_ratio,f5_pullback_from_high,f5_range_pct,f5_upper_shadow_ratio,f60_afternoon_return,f60_afternoon_volume_share,f60_amount_per_volume,f60_body_ratio,f60_breakout_efficiency,f60_candidate_add_confirmation,f60_candidate_add_threshold,f60_close_location,f60_close_vs_vwap,f60_confirmation_score,f60_failed_push_proxy,f60_high_time_ratio,f60_intraday_return,f60_last_bar_lower_shadow_ratio,f60_last_bar_return,f60_last_bar_upper_shadow_ratio,f60_last_bar_volume_share,f60_lower_shadow_ratio,f60_pullback_from_high,f60_range_pct,f60_upper_shadow_ratio,fetch_status,forced_action_context,forward_close_return_1d,forward_close_return_3d,forward_close_return_5d,gross_exposure_after_close,held_before_signal,is_repaired_miss_window,max_adverse_return_1d,max_adverse_return_3d,max_adverse_return_5d,max_favorable_return_1d,max_favorable_return_3d,max_favorable_return_5d,miss_reading,reason,role_family,signal_trade_date,symbol,trade_date,window_end,window_start
entry_vs_skip,True,,,main_markup,eligibility,106.1,2023-06-08,-0.004383,0.196418,0.328464,-0.024718,0.326035,108.507477,0.565443,0.17867,0.463196,-0.003321,0.0,0.5625,0.00943,0.442308,-0.002307,0.076923,0.051712,0.20317,-0.026913,0.052781,0.231387,-0.024718,0.326035,108.507477,0.507652,0.17867,,,0.463196,-0.010115,,0.0,0.625,0.00943,0.139344,0.006986,0.385246,0.102088,0.321635,-0.026913,0.052781,0.170714,-0.024718,0.326035,108.507477,0.507509,0.17867,0.463196,-0.004144,0.0,0.520833,0.00943,0.540541,0.001019,0.432432,0.022295,0.229617,-0.026913,0.052781,0.262874,-0.024718,0.326035,108.507477,0.510809,0.17867,,,0.463196,-0.008216,,0.0,0.75,0.00943,0.540146,0.001482,0.343066,0.164439,0.304887,-0.026913,0.052781,0.184304,success,,0.005844,0.145146,0.221018,,False,False,-0.026673,-0.026673,-0.026673,0.032893,0.155891,0.268238,,core_module_leader:eligibility,core_module_leader,2023-06-07,300308,2023-06-07,2023-06-07 15:00:00,2023-06-07 09:25:00
add_vs_hold,False,,,divergence_and_decay,eligibility,49.0,2023-12-21,0.049592,0.023265,-0.049796,-0.012043,0.30138,49.648846,0.48815,-0.762203,0.164063,-0.0071,1.0,0.0625,-0.039984,0.423077,-0.006058,0.0,0.125423,0.297869,-0.041667,0.052459,0.213981,-0.012043,0.30138,49.648846,0.425764,-0.762203,,,0.164063,-0.009643,,1.0,0.125,-0.039984,0.229167,-0.01422,0.03125,0.179349,0.380773,-0.041667,0.052459,0.193463,-0.012043,0.30138,49.648846,0.428838,-0.762203,0.164063,-0.00716,1.0,0.020833,-0.039984,0.0,0.00449,0.266667,0.033995,0.245246,-0.041667,0.052459,0.325915,-0.012043,0.30138,49.648846,0.438798,-0.762203,,,0.164063,-0.00675,,1.0,0.25,-0.039984,0.191304,-0.013627,0.217391,0.226883,0.324102,-0.041667,0.052459,0.2371,success,,0.035918,0.009592,-0.040408,,True,False,-0.022449,-0.022449,-0.04551,0.072245,0.072245,0.072245,,high_beta_core_module:eligibility,high_beta_core_module,2023-12-20,300502,2023-12-20,2023-12-20 15:00:00,2023-12-20 09:25:00
add_vs_hold,True,,,main_markup,eligibility,110.66,2024-02-06,0.184981,0.258901,0.670025,0.011195,0.413231,112.230558,0.479724,0.417906,0.432008,-0.003013,0.0,0.6875,0.037037,0.247934,-0.006388,0.157025,0.045255,0.216937,-0.04624,0.088625,0.303339,0.011195,0.413231,112.230558,0.602596,0.417906,,,0.432008,-0.002686,,0.0,0.75,0.037037,0.153061,-0.009463,0.30102,0.083334,0.162157,-0.04624,0.088625,0.235247,0.011195,0.413231,112.230558,0.54497,0.417906,0.432008,-0.001326,0.0,0.645833,0.037037,0.0,-0.005682,0.189873,0.015665,0.173251,-0.04624,0.088625,0.281779,0.011195,0.413231,112.230558,0.525266,0.417906,,,0.432008,-0.000728,,0.0,0.75,0.037037,0.069767,-0.034483,0.0,0.145259,0.203306,-0.04624,0.088625,0.271427,success,,0.128502,0.147659,0.441352,,True,False,-0.007772,-0.007772,-0.007772,0.128502,0.238026,0.47289,,core_module_leader:eligibility,core_module_leader,2024-02-05,300308,2024-02-05,2024-02-05 15:00:00,2024-02-05 09:25:00
close_vs_hold,True,,,main_markup,holding_veto,178.75,2024-03-18,0.020951,-0.105594,-0.112755,0.052707,0.506615,173.550784,0.461011,0.713306,0.809854,0.021764,0.0,0.8125,0.062036,0.177143,-0.007221,0.085714,0.06237,0.18285,-0.015214,0.08697,0.356139,0.052707,0.506615,173.550784,0.578792,0.713306,,,0.809854,0.018999,,0.0,0.875,0.062036,0.109155,-0.005662,0.535211,0.114654,0.140198,-0.015214,0.08697,0.281009,0.052707,0.506615,173.550784,0.54984,0.713306,0.809854,0.021562,0.0,0.791667,0.062036,0.794118,0.000226,0.088235,0.025814,0.254763,-0.015214,0.08697,0.195397,0.052707,0.506615,173.550784,0.633479,0.713306,,,0.809854,0.020008,,0.0,1.0,0.062036,0.008016,0.012618,0.549098,0.273507,0.092593,-0.015214,0.08697,0.273928,success,,0.006937,-0.054769,-0.06193,,True,False,-0.00649,-0.071329,-0.071329,0.041007,0.041007,0.041007,,core_module_leader:holding_veto,core_module_leader,2024-03-15,300308,2024-03-15,2024-03-15 15:00:00,2024-03-15 09:25:00
entry_vs_skip,False,,,main_markup,eligibility,106.14,2024-04-19,-0.077728,-0.132278,-0.004193,-0.014028,0.343646,105.695876,0.461418,0.371668,0.629979,-0.001887,0.0,0.625,0.035415,0.141026,-0.003287,0.410256,0.056476,0.216356,-0.03219,0.095286,0.322226,-0.014028,0.343646,105.695876,0.539311,0.371668,,,0.629979,-0.00817,,0.0,0.625,0.035415,0.090909,-0.007203,0.272727,0.100086,0.23654,-0.03219,0.095286,0.224149,-0.014028,0.343646,105.695876,0.472144,0.371668,0.629979,0.002457,0.0,0.604167,0.035415,0.0,-0.0031,0.108108,0.022581,0.22837,-0.03219,0.095286,0.299486,-0.014028,0.343646,105.695876,0.453375,0.371668,,,0.629979,-0.00925,,0.0,0.75,0.035415,0.065476,-0.013295,0.083333,0.154863,0.250243,-0.03219,0.095286,0.296382,success,,-0.026286,-0.05521,0.032598,,False,False,-0.057848,-0.083475,-0.083475,0.012813,0.012813,0.093367,,packaging_process_enabler:eligibility,packaging_process_enabler,2024-04-18,300757,2024-04-18,2024-04-18 15:00:00,2024-04-18 09:25:00
add_vs_hold,True,,,main_markup,eligibility,88.5,2025-06-04,0.076158,0.198983,0.212825,-0.008496,0.302563,86.872611,0.48635,-0.347539,0.214286,-0.005757,1.0,0.1875,-0.009065,0.416667,-0.001388,0.083333,0.085487,0.263766,-0.019973,0.026083,0.249884,-0.008496,0.302563,86.872611,0.554795,-0.347539,,,0.214286,-0.007102,,1.0,0.25,-0.009065,0.277778,-0.001965,0.25,0.121631,0.248507,-0.019973,0.026083,0.196698,-0.008496,0.302563,86.872611,0.436884,-0.347539,0.214286,-0.006171,1.0,0.166667,-0.009065,0.285714,-0.000232,0.428571,0.034097,0.26264,-0.019973,0.026083,0.300476,-0.008496,0.302563,86.872611,0.276655,-0.347539,,,0.214286,-0.00609,,1.0,0.25,-0.009065,0.235294,-0.004381,0.220588,0.196435,0.523946,-0.019973,0.026083,0.199399,success,,0.045763,0.126893,0.125424,,True,False,0.0,0.0,0.0,0.060791,0.144181,0.174802,,high_beta_core_module:eligibility,high_beta_core_module,2025-06-03,300502,2025-06-03,2025-06-03 15:00:00,2025-06-03 09:25:00
add_vs_hold,False,,,main_markup,eligibility,127.42,2025-07-03,0.020758,-0.035473,0.057958,0.009205,0.310458,123.701144,0.459275,0.01371,0.863529,0.010114,0.0,0.25,0.00048,0.482759,-0.00016,0.465517,0.073877,0.241514,-0.004619,0.035034,0.299212,0.009205,0.310458,123.701144,0.460194,0.01371,,,0.863529,0.007286,,0.0,0.25,0.00048,0.2875,0.00048,0.65,0.125864,0.243289,-0.004619,0.035034,0.296517,0.009205,0.310458,123.701144,0.458164,0.01371,0.863529,0.008772,0.0,0.229167,0.00048,0.333333,-0.001279,0.1,0.026142,0.294111,-0.004619,0.035034,0.247725,0.009205,0.310458,123.701144,0.380062,0.01371,,,0.863529,0.002657,,0.0,0.25,0.00048,0.010417,0.011165,0.270833,0.21563,0.422662,-0.004619,0.035034,0.197275,success,,0.01758,-0.007299,0.063805,,True,False,-0.010752,-0.047245,-0.047245,0.027861,0.038142,0.082797,,high_beta_core_module:eligibility,high_beta_core_module,2025-07-02,300502,2025-07-02,2025-07-02 15:00:00,2025-07-02 09:25:00
entry_vs_skip,True,,,main_markup,eligibility,186.0,2025-07-25,-0.00172,0.186156,0.274785,0.010917,0.268899,186.916216,0.457108,-0.454552,0.316547,-0.007989,0.0,0.0625,-0.027822,0.097345,0.004175,0.0,0.047625,0.293418,-0.039419,0.061207,0.249474,0.010917,0.268899,186.916216,0.474975,-0.454552,,,0.316547,-0.002826,,0.0,0.125,-0.027822,0.699115,0.001839,0.0,0.080829,0.314548,-0.039419,0.061207,0.210477,0.010917,0.268899,186.916216,0.504476,-0.454552,0.316547,-0.008629,0.0,0.041667,-0.027822,0.136364,0.001027,0.0,0.015309,0.219628,-0.039419,0.061207,0.275896,0.010917,0.268899,186.916216,0.465285,-0.454552,,,0.316547,0.001102,,0.0,0.25,-0.027822,0.588542,-0.001725,0.21875,0.117063,0.341489,-0.039419,0.061207,0.193226,success,,-0.004194,0.128656,0.169946,,False,False,-0.008011,-0.009677,-0.009677,0.020968,0.134355,0.229032,,core_module_leader:eligibility,core_module_leader,2025-07-24,300308,2025-07-24,2025-07-24 15:00:00,2025-07-24 09:25:00
add_vs_hold,False,,,main_markup,eligibility,185.14,2025-08-01,-0.018851,-0.044831,-0.038511,-0.051151,0.461227,194.957742,0.485826,-0.740022,0.070288,-0.030429,1.0,0.125,-0.049196,0.4375,-0.002583,0.203125,0.07021,0.340031,-0.057954,0.066479,0.174144,-0.051151,0.461227,194.957742,0.410042,-0.740022,,,0.070288,-0.029012,,1.0,0.125,-0.049196,0.536585,-0.003109,0.103659,0.125865,0.360948,-0.057954,0.066479,0.22901,-0.051151,0.461227,194.957742,0.47208,-0.740022,0.070288,-0.029081,1.0,0.083333,-0.049196,0.0,-0.001952,0.0,0.028741,0.282649,-0.057954,0.066479,0.245271,-0.051151,0.461227,194.957742,0.594906,-0.740022,,,0.070288,-0.022171,,1.0,0.25,-0.049196,0.221662,-0.00421,0.556675,0.240764,0.164918,-0.057954,0.066479,0.240177,success,,-0.010911,-0.01453,-0.00821,,True,False,-0.025386,-0.047748,-0.047748,0.034893,0.034893,0.034893,,high_beta_core_module:eligibility,high_beta_core_module,2025-07-31,300502,2025-07-31,2025-07-31 15:00:00,2025-07-31 09:25:00
add_vs_hold,False,,,main_markup,eligibility,273.0,2025-08-26,-0.032125,-0.068626,-0.113407,0.0,0.221163,259.691969,0.250228,0.976619,1.0,0.02163,0.0,0.3125,0.152282,0.0,0.0,0.0,0.001458,0.231224,0.0,0.155928,0.018548,0.0,0.221163,259.691969,0.429374,0.976619,,,1.0,0.019246,,0.0,0.375,0.152282,0.0,0.0,0.0,0.002532,0.190096,0.0,0.155928,0.00553,0.0,0.221163,259.691969,0.27058,0.976619,1.0,0.035049,0.0,0.291667,0.152282,0.0,0.0,0.0,0.000391,0.158388,0.0,0.155928,0.050199,0.0,0.221163,259.691969,0.302846,0.976619,,,1.0,0.001886,,0.0,0.5,0.152282,0.0,0.0,0.0,0.005097,0.443149,0.0,0.155928,0.004004,success,,-0.018315,-0.018388,-0.058242,,True,False,-0.025348,-0.062234,-0.093407,0.023077,0.023993,0.076484,,packaging_process_enabler:eligibility,packaging_process_enabler,2025-08-25,300757,2025-08-25,2025-08-25 15:00:00,2025-08-25 09:25:00
