action_context,action_favored_3d,board_phase,coarse_label,control_label,d15_60_close_vs_vwap,d15_60_close_vs_vwap_rz,d15_60_failed_push_proxy,d15_60_last_bar_lower_shadow_ratio,d15_60_last_bar_lower_shadow_ratio_rz,d15_60_last_bar_return,d15_60_last_bar_return_rz,d15_60_last_bar_upper_shadow_ratio,d15_60_last_bar_upper_shadow_ratio_rz,d15_60_last_bar_volume_share,d15_60_last_bar_volume_share_rz,d15_60_lower_shadow_ratio,d15_60_lower_shadow_ratio_rz,d15_60_upper_shadow_ratio,d15_60_upper_shadow_ratio_rz,d5_30_close_vs_vwap,d5_30_close_vs_vwap_rz,d5_30_last_bar_lower_shadow_ratio,d5_30_last_bar_lower_shadow_ratio_rz,d5_30_last_bar_return,d5_30_last_bar_return_rz,d5_30_last_bar_upper_shadow_ratio,d5_30_last_bar_upper_shadow_ratio_rz,d5_30_last_bar_volume_share,d5_30_last_bar_volume_share_rz,d5_30_lower_shadow_ratio,d5_30_lower_shadow_ratio_rz,d5_30_upper_shadow_ratio,d5_30_upper_shadow_ratio_rz,execution_trade_date,expectancy_proxy_3d,f30_afternoon_volume_share,f30_afternoon_volume_share_rz,f30_body_ratio,f30_body_ratio_rz,f30_breakout_efficiency,f30_breakout_efficiency_rz,f30_close_location,f30_close_location_rz,f30_close_vs_vwap,f30_close_vs_vwap_rz,f30_failed_push_proxy,f30_high_time_ratio,f30_high_time_ratio_rz,f30_last_bar_lower_shadow_ratio,f30_last_bar_lower_shadow_ratio_rz,f30_last_bar_return,f30_last_bar_return_rz,f30_last_bar_upper_shadow_ratio,f30_last_bar_upper_shadow_ratio_rz,f30_last_bar_volume_share,f30_last_bar_volume_share_rz,f30_lower_shadow_ratio,f30_lower_shadow_ratio_rz,f30_pullback_from_high,f30_pullback_from_high_rz,f30_upper_shadow_ratio,f30_upper_shadow_ratio_rz,f60_afternoon_volume_share,f60_afternoon_volume_share_rz,f60_body_ratio,f60_body_ratio_rz,f60_breakout_efficiency,f60_breakout_efficiency_rz,f60_close_location,f60_close_location_rz,f60_close_vs_vwap,f60_close_vs_vwap_rz,f60_failed_push_proxy,f60_high_time_ratio,f60_high_time_ratio_rz,f60_last_bar_lower_shadow_ratio,f60_last_bar_lower_shadow_ratio_rz,f60_last_bar_return,f60_last_bar_return_rz,f60_last_bar_upper_shadow_ratio,f60_last_bar_upper_shadow_ratio_rz,f60_last_bar_volume_share,f60_last_bar_volume_share_rz,f60_lower_shadow_ratio,f60_lower_shadow_ratio_rz,f60_pullback_from_high,f60_pullback_from_high_rz,f60_upper_shadow_ratio,f60_upper_shadow_ratio_rz,forward_close_return_3d,is_expanded_window_rebuild,max_adverse_return_3d,max_favorable_return_3d,pc1_band,pc1_score,pc2_band,pc2_score,pc3_score,role_family,row_weight,signal_trade_date,split_group,state_band,symbol,under_exposure_gap
entry_vs_skip,False,main_markup,hold_or_skip,eligibility,-0.000584,-584000.0,0.0,0.0,0.0,-0.044803,-44803000.0,0.0,0.0,-0.248481,-248481000.0,0.0,0.0,0.0,0.0,0.004429,4429000.0,0.0,0.0,0.004006,4006000.0,0.0,0.0,-0.118297,-118297000.0,0.0,0.0,0.0,0.0,2023-05-04,-0.210379,0.456704,456704000.0,0.0,0.0,0.594071,594071000.0,0.815668,815668000.0,0.029971,29971000.0,0.0,1.0,1000000000.0,0.0,0.0,-0.008479,-8479000.0,0.0,0.0,0.136574,136574000.0,0.0,0.0,-0.017096,-17096000.0,0.0,0.0,0.456704,456704000.0,0.0,0.0,0.594071,594071000.0,0.815668,815668000.0,0.032132,32132000.0,0.0,1.0,1000000000.0,0.0,0.0,0.034333,34333000.0,0.0,0.0,0.294429,294429000.0,0.0,0.0,-0.017096,-17096000.0,0.0,0.0,-0.089385,,-0.139959,0.03793,low,-2045838648.167621,low,-239672129.81744,-36494913.875436,high_beta_core_module,0.586667,2023-04-28,train,pc1_low__pc2_low,300502,
entry_vs_skip,True,main_markup,increase_expression,eligibility,0.004895,4895000.0,0.0,0.0,0.0,-0.003789,-3789000.0,0.0,0.0,-0.112727,-112727000.0,0.0,0.0,0.0,0.0,0.005971,5971000.0,0.0,0.0,-0.005967,-5967000.0,0.0,0.0,-0.079793,-79793000.0,0.0,0.0,0.0,0.0,2023-06-08,0.196418,0.326035,326035000.0,0.0,0.0,0.17867,178670000.0,0.463196,463196000.0,-0.010115,-10115000.0,0.0,0.625,625000000.0,0.0,0.0,0.006986,6986000.0,0.0,0.0,0.102088,102088000.0,0.0,0.0,-0.026913,-26913000.0,0.0,0.0,0.326035,326035000.0,0.0,0.0,0.17867,178670000.0,0.463196,463196000.0,-0.008216,-8216000.0,0.0,0.75,750000000.0,0.0,0.0,0.001482,1482000.0,0.0,0.0,0.164439,164439000.0,0.0,0.0,-0.026913,-26913000.0,0.0,0.0,0.145146,,-0.026673,0.155891,low,-1143762378.507895,low,-420955277.391783,-3397918.176087,core_module_leader,20.533333,2023-06-07,train,pc1_low__pc2_low,300308,
add_vs_hold,False,divergence_and_decay,hold_or_skip,eligibility,-0.00035,-350000.0,0.0,0.0,0.0,0.007569,7569000.0,0.0,0.0,-0.10146,-101460000.0,0.0,0.0,0.0,0.0,0.002483,2483000.0,0.0,0.0,0.01871,18710000.0,0.0,0.0,-0.145354,-145354000.0,0.0,0.0,0.0,0.0,2023-12-21,0.023265,0.30138,301380000.0,0.0,0.0,-0.762203,-762203000.0,0.164063,164063000.0,-0.009643,-9643000.0,1.0,0.125,125000000.0,0.0,0.0,-0.01422,-14220000.0,0.0,0.0,0.179349,179349000.0,0.0,0.0,-0.041667,-41667000.0,0.0,0.0,0.30138,301380000.0,0.0,0.0,-0.762203,-762203000.0,0.164063,164063000.0,-0.00675,-6750000.0,1.0,0.25,250000000.0,0.0,0.0,-0.013627,-13627000.0,0.0,0.0,0.226883,226883000.0,0.0,0.0,-0.041667,-41667000.0,0.0,0.0,0.009592,,-0.022449,0.072245,high,146996677.655909,low,-1143114755.011199,516861614.977041,high_beta_core_module,0.586667,2023-12-20,train,pc1_high__pc2_low,300502,
add_vs_hold,True,main_markup,increase_expression,eligibility,-0.002285,-2285000.0,0.0,0.0,0.0,0.028095,28095000.0,0.0,0.0,-0.100004,-100004000.0,0.0,0.0,0.0,0.0,0.00136,1360000.0,0.0,0.0,0.003781,3781000.0,0.0,0.0,-0.067669,-67669000.0,0.0,0.0,0.0,0.0,2024-02-06,0.258901,0.413231,413231000.0,0.0,0.0,0.417906,417906000.0,0.432008,432008000.0,-0.002686,-2686000.0,0.0,0.75,750000000.0,0.0,0.0,-0.009463,-9463000.0,0.0,0.0,0.083334,83334000.0,0.0,0.0,-0.04624,-46240000.0,0.0,0.0,0.413231,413231000.0,0.0,0.0,0.417906,417906000.0,0.432008,432008000.0,-0.000728,-728000.0,0.0,0.75,750000000.0,0.0,0.0,-0.034483,-34483000.0,0.0,0.0,0.145259,145259000.0,0.0,0.0,-0.04624,-46240000.0,0.0,0.0,0.147659,,-0.007772,0.238026,low,-1358582736.082345,low,-264660714.271002,-224496341.996852,core_module_leader,20.533333,2024-02-05,train,pc1_low__pc2_low,300308,
close_vs_hold,True,main_markup,decrease_expression,holding_veto,0.001756,1756000.0,0.0,0.0,0.0,-0.019839,-19839000.0,0.0,0.0,-0.211137,-211137000.0,0.0,0.0,0.0,0.0,0.002563,2563000.0,0.0,0.0,0.005888,5888000.0,0.0,0.0,-0.08884,-88840000.0,0.0,0.0,0.0,0.0,2024-03-18,-0.105594,0.506615,506615000.0,0.0,0.0,0.713306,713306000.0,0.809854,809854000.0,0.018999,18999000.0,0.0,0.875,875000000.0,0.0,0.0,-0.005662,-5662000.0,0.0,0.0,0.114654,114654000.0,0.0,0.0,-0.015214,-15214000.0,0.0,0.0,0.506615,506615000.0,0.0,0.0,0.713306,713306000.0,0.809854,809854000.0,0.020008,20008000.0,0.0,1.0,1000000000.0,0.0,0.0,0.012618,12618000.0,0.0,0.0,0.273507,273507000.0,0.0,0.0,-0.015214,-15214000.0,0.0,0.0,-0.054769,,-0.071329,0.041007,low,-2081013657.103888,low,-103697272.13405,-74319218.081766,core_module_leader,0.802083,2024-03-15,train,pc1_low__pc2_low,300308,
entry_vs_skip,False,main_markup,hold_or_skip,eligibility,0.007363,7363000.0,0.0,0.0,0.0,0.010008,10008000.0,0.0,0.0,-0.098387,-98387000.0,0.0,0.0,0.0,0.0,0.010627,10627000.0,0.0,0.0,0.004103,4103000.0,0.0,0.0,-0.077505,-77505000.0,0.0,0.0,0.0,0.0,2024-04-19,-0.132278,0.343646,343646000.0,0.0,0.0,0.371668,371668000.0,0.629979,629979000.0,-0.00817,-8170000.0,0.0,0.625,625000000.0,0.0,0.0,-0.007203,-7203000.0,0.0,0.0,0.100086,100086000.0,0.0,0.0,-0.03219,-32190000.0,0.0,0.0,0.343646,343646000.0,0.0,0.0,0.371668,371668000.0,0.629979,629979000.0,-0.00925,-9250000.0,0.0,0.75,750000000.0,0.0,0.0,-0.013295,-13295000.0,0.0,0.0,0.154863,154863000.0,0.0,0.0,-0.03219,-32190000.0,0.0,0.0,-0.05521,,-0.083475,0.012813,low,-1410928272.338577,low,-201087828.648063,73060828.267938,packaging_process_enabler,0.586667,2024-04-18,train,pc1_low__pc2_low,300757,
add_vs_hold,True,main_markup,increase_expression,eligibility,0.000333,333000.0,0.0,0.0,0.0,0.002993,2993000.0,0.0,0.0,-0.110948,-110948000.0,0.0,0.0,0.0,0.0,0.000931,931000.0,0.0,0.0,0.001733,1733000.0,0.0,0.0,-0.087534,-87534000.0,0.0,0.0,0.0,0.0,2025-06-04,0.198983,0.302563,302563000.0,0.0,0.0,-0.347539,-347539000.0,0.214286,214286000.0,-0.007102,-7102000.0,1.0,0.25,250000000.0,0.0,0.0,-0.001965,-1965000.0,0.0,0.0,0.121631,121631000.0,0.0,0.0,-0.019973,-19973000.0,0.0,0.0,0.302563,302563000.0,0.0,0.0,-0.347539,-347539000.0,0.214286,214286000.0,-0.00609,-6090000.0,1.0,0.25,250000000.0,0.0,0.0,-0.004381,-4381000.0,0.0,0.0,0.196435,196435000.0,0.0,0.0,-0.019973,-19973000.0,0.0,0.0,0.126893,,0.0,0.144181,low,-213930879.165061,low,-723548666.676054,286928123.332815,high_beta_core_module,20.533333,2025-06-03,test,pc1_low__pc2_low,300502,
add_vs_hold,False,main_markup,hold_or_skip,eligibility,0.007457,7457000.0,0.0,0.0,0.0,-0.011325,-11325000.0,0.0,0.0,-0.141753,-141753000.0,0.0,0.0,0.0,0.0,0.001486,1486000.0,0.0,0.0,-0.001759,-1759000.0,0.0,0.0,-0.099722,-99722000.0,0.0,0.0,0.0,0.0,2025-07-03,-0.035473,0.310458,310458000.0,0.0,0.0,0.01371,13710000.0,0.863529,863529000.0,0.007286,7286000.0,0.0,0.25,250000000.0,0.0,0.0,0.00048,480000.0,0.0,0.0,0.125864,125864000.0,0.0,0.0,-0.004619,-4619000.0,0.0,0.0,0.310458,310458000.0,0.0,0.0,0.01371,13710000.0,0.863529,863529000.0,0.002657,2657000.0,0.0,0.25,250000000.0,0.0,0.0,0.011165,11165000.0,0.0,0.0,0.21563,215630000.0,0.0,0.0,-0.004619,-4619000.0,0.0,0.0,-0.007299,,-0.047245,0.038142,low,-984635303.752697,low,-242700469.021428,813830726.670007,high_beta_core_module,0.586667,2025-07-02,test,pc1_low__pc2_low,300502,
entry_vs_skip,True,main_markup,increase_expression,eligibility,-0.009091,-9091000.0,0.0,0.0,0.0,0.0059,5900000.0,0.0,0.0,-0.069438,-69438000.0,0.0,0.0,0.0,0.0,-0.005803,-5803000.0,0.0,0.0,-0.000812,-812000.0,0.0,0.0,-0.06552,-65520000.0,0.0,0.0,0.0,0.0,2025-07-25,0.186156,0.268899,268899000.0,0.0,0.0,-0.454552,-454552000.0,0.316547,316547000.0,-0.002826,-2826000.0,0.0,0.125,125000000.0,0.0,0.0,0.001839,1839000.0,0.0,0.0,0.080829,80829000.0,0.0,0.0,-0.039419,-39419000.0,0.0,0.0,0.268899,268899000.0,0.0,0.0,-0.454552,-454552000.0,0.316547,316547000.0,0.001102,1102000.0,0.0,0.25,250000000.0,0.0,0.0,-0.001725,-1725000.0,0.0,0.0,0.117063,117063000.0,0.0,0.0,-0.039419,-39419000.0,0.0,0.0,0.128656,,-0.009677,0.134355,low,-147155701.665941,low,-736224943.053331,498167099.798718,core_module_leader,20.533333,2025-07-24,test,pc1_low__pc2_low,300308,
add_vs_hold,False,main_markup,hold_or_skip,eligibility,-0.008258,-8258000.0,0.0,0.0,0.0,0.001627,1627000.0,0.0,0.0,-0.170554,-170554000.0,0.0,0.0,0.0,0.0,-6.9e-05,-69000.0,0.0,0.0,0.001157,1157000.0,0.0,0.0,-0.097124,-97124000.0,0.0,0.0,0.0,0.0,2025-08-01,-0.044831,0.461227,461227000.0,0.0,0.0,-0.740022,-740022000.0,0.070288,70288000.0,-0.029012,-29012000.0,1.0,0.125,125000000.0,0.0,0.0,-0.003109,-3109000.0,0.0,0.0,0.125865,125865000.0,0.0,0.0,-0.057954,-57954000.0,0.0,0.0,0.461227,461227000.0,0.0,0.0,-0.740022,-740022000.0,0.070288,70288000.0,-0.022171,-22171000.0,1.0,0.25,250000000.0,0.0,0.0,-0.00421,-4210000.0,0.0,0.0,0.240764,240764000.0,0.0,0.0,-0.057954,-57954000.0,0.0,0.0,-0.01453,,-0.047748,0.034893,high,144086290.012557,low,-1235564625.043033,383528052.935874,high_beta_core_module,0.586667,2025-07-31,test,pc1_high__pc2_low,300502,
