add_favored_3d,board_avg_return,board_breadth,context_label,error_message,error_type,executed_today_order_count,execution_open_price,execution_trade_date,expectancy_proxy_3d,f30_afternoon_return,f30_afternoon_volume_share,f30_amount_per_volume,f30_breakout_efficiency,f30_close_location,f30_close_vs_vwap,f30_confirmation_score,f30_failed_push_proxy,f30_high_time_ratio,f30_intraday_return,f30_last_bar_return,f30_last_bar_volume_share,f30_pullback_from_high,f30_range_pct,f30_threshold_pass,f60_afternoon_return,f60_afternoon_volume_share,f60_amount_per_volume,f60_breakout_efficiency,f60_close_location,f60_close_vs_vwap,f60_confirmation_score,f60_failed_push_proxy,f60_high_time_ratio,f60_intraday_return,f60_last_bar_return,f60_last_bar_volume_share,f60_pullback_from_high,f60_range_pct,f60_threshold_pass,fetch_status,forward_close_return_3d,gross_exposure_after_close,is_top_miss_day,max_adverse_return_3d,max_favorable_return_3d,risk_favored_3d,symbol,trade_date
,-0.031199,-0.35,action_mixed,baostock_query_failed:10001001:用户未登录,RuntimeError,1,64.0,2023-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,error,,0.070933,False,,,,300502,2023-05-04
False,0.070092,0.8,strong_under_exposed,,,0,71.01,2023-05-19,-0.239755,0.0,0.022663,69.297959,0.617132,1.0,0.036225,0.824197,0.0,0.375,0.100746,0.0,0.0056,0.0,0.163249,True,0.0,0.022663,69.297959,0.617132,1.0,0.021248,0.789266,0.0,0.5,0.100746,0.0,0.0078,0.0,0.163249,True,success,-0.112379,0.080622,True,-0.144064,0.033376,True,300502,2023-05-18
,-0.025016,-0.45,action_mixed,baostock_query_failed:10001001:用户未登录,RuntimeError,1,106.7,2023-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,error,,0.15883,False,,,,300308,2023-06-08
,-0.025016,-0.45,action_mixed,baostock_query_failed:10001001:用户未登录,RuntimeError,1,55.08,2023-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,error,,0.15883,False,,,,300502,2023-06-08
True,0.060855,0.9,strong_under_exposed,,,0,133.9,2023-06-15,0.296191,0.020079,0.445061,127.026121,0.423566,0.61042,0.023222,0.635214,0.0,0.75,0.044758,-0.009178,0.095145,-0.037232,0.10567,True,0.020079,0.445061,127.026121,0.423566,0.61042,0.012412,0.602784,0.0,0.75,0.044758,-0.017668,0.152686,-0.037232,0.10567,True,success,0.194996,0.185538,True,-0.01419,0.230769,False,300308,2023-06-14
,0.060855,0.9,strong_under_exposed,baostock_query_failed:10001001:用户未登录,RuntimeError,0,67.13,2023-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,error,,0.185538,True,,,,300502,2023-06-14
False,0.066185,1.0,strong_under_exposed,,,0,158.09,2023-06-19,0.01983,0.055858,0.408394,144.385598,0.760375,0.937133,0.06198,0.934923,0.0,1.0,0.13678,0.013138,0.118019,-0.009585,0.179885,True,0.055858,0.408394,144.385598,0.760375,0.937133,0.052611,0.934923,0.0,1.0,0.13678,0.004537,0.183051,-0.009585,0.179885,True,success,0.011449,0.205833,False,-0.029287,0.075337,False,300308,2023-06-16
False,0.066185,1.0,strong_under_exposed,,,0,69.64,2023-06-19,0.088168,0.019608,0.397539,65.705243,0.663342,0.927557,0.038314,0.851546,0.0,1.0,0.075188,0.012091,0.115259,-0.007375,0.113347,True,0.019608,0.397539,65.705243,0.663342,0.927557,0.032071,0.832817,0.0,1.0,0.075188,0.003509,0.200629,-0.007375,0.113347,True,success,0.011488,0.205833,False,-0.006175,0.165709,False,300502,2023-06-16
False,0.063588,0.9,strong_under_exposed,,,0,160.01,2023-06-20,-0.136148,6.3e-05,0.296804,158.671872,0.164354,0.577601,0.008002,0.551241,0.0,0.75,0.012145,-0.013623,0.085685,-0.029066,0.073895,False,6.3e-05,0.296804,158.671872,0.164354,0.577601,0.008395,0.55242,0.0,0.75,0.012145,-0.007259,0.134985,-0.029066,0.073895,False,success,-0.075058,0.217176,False,-0.092307,0.062434,True,300308,2023-06-19
False,0.063588,0.9,strong_under_exposed,,,0,76.0,2023-06-20,-0.291316,0.044139,0.331126,73.902893,0.719008,0.759398,0.055234,0.816867,0.0,0.875,0.124354,-0.005714,0.073162,-0.035477,0.172952,True,0.044139,0.331126,73.902893,0.719008,0.759398,0.051549,0.826867,0.0,1.0,0.124354,0.044,0.187646,-0.035477,0.172952,True,success,-0.154211,0.217176,False,-0.165789,0.057368,True,300502,2023-06-19
