lane,candidate_name,signal_trade_date,execution_trade_date,symbol,action,source,reason,quantity,execution_price,notional,cost,weight_vs_initial_capital
baseline,baseline,2023-04-28,2023-05-04,300502,open,high_beta_core_module:eligibility,open_from_board_state_episode,1100,68.02,74822.0,59.8576,0.074822
baseline,baseline,2023-06-07,2023-06-08,300308,open,core_module_leader:eligibility,open_from_board_state_episode,900,106.1,95490.0,76.392,0.09549
shadow_add,cooling_reacceleration_controlled,2023-06-14,2023-06-15,300308,add,controlled_score,candidate_shadow_add_on_existing_position,400,133.9,53560.0,42.848,0.05356
shadow_add,cooling_reacceleration_controlled,2023-06-14,2023-06-15,300502,add,controlled_score,candidate_shadow_add_on_existing_position,500,67.13,33565.0,26.852,0.033565
shadow_add,participation_turnover_elg_support,2023-06-14,2023-06-15,300308,add,participation_turnover_elg_support_score,candidate_shadow_add_on_existing_position,400,133.9,53560.0,42.848,0.05356
shadow_add,participation_turnover_elg_support,2023-06-14,2023-06-15,300502,add,participation_turnover_elg_support_score,candidate_shadow_add_on_existing_position,500,67.13,33565.0,26.852,0.033565
shadow_add,sustained_participation_non_chase,2023-06-14,2023-06-15,300308,add,sustained_participation_non_chase_score,candidate_shadow_add_on_existing_position,400,133.9,53560.0,42.848,0.05356
shadow_add,sustained_participation_non_chase,2023-06-14,2023-06-15,300502,add,sustained_participation_non_chase_score,candidate_shadow_add_on_existing_position,500,67.13,33565.0,26.852,0.033565
shadow_add,cooled_q_0p25,2023-09-22,2023-09-25,300308,add,abs_visible_pc1_score_1030,candidate_shadow_add_on_existing_position,400,111.08,44432.0,35.5456,0.044432
shadow_add,cooled_q_0p25,2023-09-22,2023-09-25,300502,add,abs_visible_pc1_score_1030,candidate_shadow_add_on_existing_position,500,44.05,22025.0,17.62,0.022025
shadow_add,cooling_reacceleration_controlled,2023-09-22,2023-09-25,300308,add,controlled_score,candidate_shadow_add_on_existing_position,400,111.08,44432.0,35.5456,0.044432
shadow_add,sustained_participation_non_chase,2023-09-22,2023-09-25,300308,add,sustained_participation_non_chase_score,candidate_shadow_add_on_existing_position,400,111.08,44432.0,35.5456,0.044432
shadow_add,sustained_participation_non_chase,2023-09-22,2023-09-25,300502,add,sustained_participation_non_chase_score,candidate_shadow_add_on_existing_position,500,44.05,22025.0,17.62,0.022025
shadow_add,cooled_q_0p25,2023-12-08,2023-12-11,300308,add,abs_visible_pc1_score_1030,candidate_shadow_add_on_existing_position,400,117.24,46896.0,37.5168,0.046896
shadow_add,cooled_q_0p25,2023-12-08,2023-12-11,300502,add,abs_visible_pc1_score_1030,candidate_shadow_add_on_existing_position,500,53.0,26500.0,21.2,0.0265
shadow_add,cooling_reacceleration_controlled,2023-12-08,2023-12-11,300308,add,controlled_score,candidate_shadow_add_on_existing_position,400,117.24,46896.0,37.5168,0.046896
shadow_add,cooling_reacceleration_controlled,2023-12-08,2023-12-11,300502,add,controlled_score,candidate_shadow_add_on_existing_position,500,53.0,26500.0,21.2,0.0265
shadow_add,sustained_participation_non_chase,2023-12-08,2023-12-11,300308,add,sustained_participation_non_chase_score,candidate_shadow_add_on_existing_position,400,117.24,46896.0,37.5168,0.046896
shadow_add,sustained_participation_non_chase,2023-12-08,2023-12-11,300502,add,sustained_participation_non_chase_score,candidate_shadow_add_on_existing_position,500,53.0,26500.0,21.2,0.0265
baseline,baseline,2023-12-20,2023-12-21,300502,add,high_beta_core_module:eligibility,add_to_target_from_board_state_episode,250,49.0,12250.0,11.125,0.01225
shadow_add,cooled_q_0p25,2024-01-18,2024-01-19,300308,add,abs_visible_pc1_score_1030,candidate_shadow_add_on_existing_position,400,112.3,44920.0,35.936,0.04492
shadow_add,cooled_q_0p25,2024-01-18,2024-01-19,300502,add,abs_visible_pc1_score_1030,candidate_shadow_add_on_existing_position,600,52.09,31254.0,25.0032,0.031254
shadow_add,cooling_reacceleration_controlled,2024-02-05,2024-02-06,300308,add,controlled_score,candidate_shadow_add_on_existing_position,400,110.66,44264.0,35.4112,0.044264
shadow_add,participation_turnover_elg_support,2024-02-05,2024-02-06,300308,add,participation_turnover_elg_support_score,candidate_shadow_add_on_existing_position,400,110.66,44264.0,35.4112,0.044264
shadow_add,sustained_participation_non_chase,2024-02-05,2024-02-06,300308,add,sustained_participation_non_chase_score,candidate_shadow_add_on_existing_position,400,110.66,44264.0,35.4112,0.044264
shadow_add,cooled_q_0p25,2024-02-06,2024-02-07,300308,add,abs_visible_pc1_score_1030,candidate_shadow_add_on_existing_position,400,123.1,49240.0,39.392,0.04924
shadow_add,cooled_q_0p25,2024-02-06,2024-02-07,300502,add,abs_visible_pc1_score_1030,candidate_shadow_add_on_existing_position,600,51.29,30774.0,24.6192,0.030774
shadow_add,cooling_reacceleration_controlled,2024-02-06,2024-02-07,300308,add,controlled_score,candidate_shadow_add_on_existing_position,400,123.1,49240.0,39.392,0.04924
shadow_add,cooling_reacceleration_controlled,2024-02-06,2024-02-07,300502,add,controlled_score,candidate_shadow_add_on_existing_position,600,51.29,30774.0,24.6192,0.030774
shadow_add,participation_turnover_elg_support,2024-02-06,2024-02-07,300308,add,participation_turnover_elg_support_score,candidate_shadow_add_on_existing_position,400,123.1,49240.0,39.392,0.04924
shadow_add,participation_turnover_elg_support,2024-02-06,2024-02-07,300502,add,participation_turnover_elg_support_score,candidate_shadow_add_on_existing_position,600,51.29,30774.0,24.6192,0.030774
shadow_add,sustained_participation_non_chase,2024-02-06,2024-02-07,300308,add,sustained_participation_non_chase_score,candidate_shadow_add_on_existing_position,400,123.1,49240.0,39.392,0.04924
shadow_add,sustained_participation_non_chase,2024-02-06,2024-02-07,300502,add,sustained_participation_non_chase_score,candidate_shadow_add_on_existing_position,600,51.29,30774.0,24.6192,0.030774
baseline,baseline,2024-03-15,2024-03-18,300308,close,core_module_leader:holding_veto,close_from_holding_veto,900,178.75,160875.0,289.575,0.160875
baseline,baseline,2024-04-18,2024-04-19,300757,open,packaging_process_enabler:eligibility,open_from_board_state_episode,900,106.14,95526.0,76.4208,0.095526
shadow_add,cooling_reacceleration_controlled,2025-06-03,2025-06-04,300502,add,controlled_score,candidate_shadow_add_on_existing_position,600,88.5,53100.0,42.48,0.0531
shadow_add,participation_turnover_elg_support,2025-06-03,2025-06-04,300502,add,participation_turnover_elg_support_score,candidate_shadow_add_on_existing_position,600,88.5,53100.0,42.48,0.0531
shadow_add,sustained_participation_non_chase,2025-06-03,2025-06-04,300502,add,sustained_participation_non_chase_score,candidate_shadow_add_on_existing_position,600,88.5,53100.0,42.48,0.0531
baseline,baseline,2025-07-24,2025-07-25,300308,open,core_module_leader:eligibility,open_from_board_state_episode,500,186.0,93000.0,74.4,0.093
shadow_add,cooling_reacceleration_controlled,2025-07-31,2025-08-01,300502,add,controlled_score,candidate_shadow_add_on_existing_position,500,185.14,92570.0,74.056,0.09257
shadow_add,participation_turnover_elg_support,2025-07-31,2025-08-01,300502,add,participation_turnover_elg_support_score,candidate_shadow_add_on_existing_position,500,185.14,92570.0,74.056,0.09257
shadow_add,sustained_participation_non_chase,2025-07-31,2025-08-01,300502,add,sustained_participation_non_chase_score,candidate_shadow_add_on_existing_position,500,185.14,92570.0,74.056,0.09257
baseline,baseline,2025-09-12,2025-09-15,300308,close,core_module_leader:holding_veto,close_from_holding_veto,500,410.0,205000.0,369.0,0.205
baseline,baseline,2025-09-29,2025-09-30,300502,reduce,high_beta_core_module:de_risk,reduce_from_board_state_episode,600,389.0,233400.0,420.12,0.2334
